equate	instrument	domain	item	label	(0,6]	(6,12]	(12,18]	(18,24]	(24,30]	(30,36]	(36,42]	(42,48]	(48,54]	(54,60]	<NA>
EXP28	Bayley2	Expressive	b2m133	Names Picture Series: 5 Pictures											
EXP35	Bayley2	Expressive	b2m134	Displays verbal comprehension											
	Bayley2		b2m135												
EXP10	Bayley2	Expressive	b2m71	Consonant vowel combination 1 combination											
COG34	Bayley2	Cognitive	b2m72	Looks for contents of box											
FM20	Bayley2	Fine Motor	b2m73	Turns pages of books											
COG36	Bayley2	Cognitive	b2m74	Puts 1 cube in cup											
COG37	Bayley2	Cognitive	b2m75	Attempts to secure 3 cubes											
EXP12	Bayley2	Expressive	b2m76	Jabbers expressively											
COG39	Bayley2	Cognitive	b2m77	Pushes car											
EXP13	Bayley2	Expressive	b2m78	Consonant-Vowel Combination Series: 4 Combination											
COG38	Bayley2	Cognitive	b2m79	Fingers holes in pegboard											
COG46	Bayley2	Cognitive	b2m80	Removes lid from box											
REC6	Bayley2	Receptive	b2m81	Responds to spoken request											
COG41	Bayley2	Cognitive	b2m82	Suspects ring by spring											
COG44	Bayley2	Cognitive	b2m83	Pats toy in imitation											
COG40	Bayley2	Cognitive	b2m84	Finds one object											
COG42	Bayley2	Cognitive	b2m85	Removes pellet											
	Bayley2		b2m86												
COG47	Bayley2	Cognitive	b2m87	Places 1 peg repeatedly											
COG43	Bayley2	Cognitive	b2m88	Retrieves toy - clear box 1											
	Bayley2		b2m89												
COG51	Bayley2	Cognitive	b2m90	Places 1 piece - blue											
FM24	Bayley2	Fine Motor	b2m91	Scribbles spontaneously											
	Bayley2		b2m92												
COG49	Bayley2	Cognitive	b2m93	Places circle pink											
	Bayley2		b2m94												
COG54	Bayley2	Cognitive	b2m95	9 cubes in cup											
COG45	Bayley2	Cognitive	b2m96	Finds toy under reversed cups											
FM25	Bayley2	Fine Motor	b2m97	Tower of 2 cubes											
COG55	Bayley2	Cognitive	b2m98	Places pegs in 70 sec											
	Bayley2		b2m99												
GM38	Bayley2	Gross Motor	b2p54	Walks sideways while holding on to furniture											
GM39	Bayley2	Gross Motor	b2p55	Sits down											
FM19	Bayley2	Fine Motor	b2p56	Food Pellet Series: Thumb-fingertip grasp											
	Bayley2		b2p57												
	Bayley2		b2p58												
	Bayley2		b2p59												
	Bayley2		b2p60												
GM40	Bayley2	Gross Motor	b2p61	Stands alone											
GM42	Bayley2	Gross Motor	b2p62	Walks alone											
GM43	Bayley2	Gross Motor	b2p63	Walks alone with good coordination											
GM44	Bayley2	Gross Motor	b2p64	Throws ball											
GM45	Bayley2	Gross Motor	b2p65	Squats briefly											
GM47	Bayley2	Gross Motor	b2p66	Walks up stairs with help											
GM48	Bayley2	Gross Motor	b2p67	Walks backwards											
GM46	Bayley2	Gross Motor	b2p68	Stands up II											
GM49	Bayley2	Gross Motor	b2p69	Walks down stairs with help											
	Bayley2		b2p70												
GM53	Bayley2	Gross Motor	b2p71	Walks sideways  											
GM51	Bayley2	Gross Motor	b2p72	Stands on right foot with help											
GM51	Bayley2	Gross Motor	b2p73	Stands on left foot with help											
FM31	Bayley2	Fine Motor	b2p74	Uses pads of fingertips to grasp pencil											
FM33	Bayley2	Fine Motor	b2p75	Uses hand to hold paper in place											
FM27	Bayley2	Fine Motor	b2p76	Places 10 pellets in bottle (60 seconds)											
GM50	Bayley2	Gross Motor	b2p77	Runs with coordination											
	Bayley2		b2p78												
GM57	Bayley2	Gross Motor	b2p79	Walks up stairs alone, placing both feet on each step											
GM58	Bayley2	Gross Motor	b2p80	Walks down stairs alone, placing both feet on each step											
GM54	Bayley2	Gross Motor	b2p81	Jumps from bottom step											
GM60	Bayley2	Gross Motor	b2p82	Stands alone on right foot											
GM61	Bayley2	Gross Motor	b2p83	Stands alone on left foot											
GM56	Bayley2	Gross Motor	b2p84	Walks forward on line											
GM63	Bayley2	Gross Motor	b2p85	Walks backwards close to line											
GM55	Bayley2	Gross Motor	b2p86	Swings leg to kick ball											
COG22	Bayley3	Cognitive	b3c22	Mirror Image Series: Responds positively											
COG23	Bayley3	Cognitive	b3c23	Plays with string											
COG24	Bayley3	Cognitive	b3c24	Bangs in play											
COG25	Bayley3	Cognitive	b3c25	Searches for fallen object											
COG26	Bayley3	Cognitive	b3c26	Bell Series: Manipulates											
COG27	Bayley3	Cognitive	b3c27	Picks Up Block Series: Reaches for second block											
COG28	Bayley3	Cognitive	b3c28	Pulls cloth to obtain object											
COG29	Bayley3	Cognitive	b3c29	Pulls string adaptively											
COG30	Bayley3	Cognitive	b3c30	Retains both blocks											
COG31	Bayley3	Cognitive	b3c31	Bell Series: Rings purposely											
COG32	Bayley3	Cognitive	b3c32	Looks at pictures											
COG33	Bayley3	Cognitive	b3c33	Picks Up Block Series: Retains 2 of 3 blocks											
COG34	Bayley3	Cognitive	b3c34	Searches for missing objects											
COG35	Bayley3	Cognitive	b3c35	Takes blocks out of cup											
COG36	Bayley3	Cognitive	b3c36	Block Series: 1 Block											
COG37	Bayley3	Cognitive	b3c37	Picks up Block Series: 3 blocks											
COG38	Bayley3	Cognitive	b3c38	Explores holes in pegboard											
COG39	Bayley3	Cognitive	b3c39	Pushes car											
COG40	Bayley3	Cognitive	b3c40	Finds hidden object											
COG41	Bayley3	Cognitive	b3c41	Suspends ring											
COG42	Bayley3	Cognitive	b3c42	Removes pellet											
COG43	Bayley3	Cognitive	b3c43	Clear Box: Front											
COG44	Bayley3	Cognitive	b3c44	Squeezes object											
COG45	Bayley3	Cognitive	b3c45	Finds hidden object (Reversed)											
COG46	Bayley3	Cognitive	b3c46	Removes lid from bottle											
COG47	Bayley3	Cognitive	b3c47	Pegboard Series: 2 holes											
COG48	Bayley3	Cognitive	b3c48	Relational Play Series: Self											
COG49	Bayley3	Cognitive	b3c49	Pink Board Series: 1 piece											
COG50	Bayley3	Cognitive	b3c50	Finds hidden object (Visible Displacement)											
COG51	Bayley3	Cognitive	b3c51	Blue Board Series: 1 piece											
COG52	Bayley3	Cognitive	b3c52	Clear Box: Sides											
COG53	Bayley3	Cognitive	b3c53	Relational Play Series: Others											
COG54	Bayley3	Cognitive	b3c54	Block Series: 9 Blocks											
COG55	Bayley3	Cognitive	b3c55	Pegboard Series: 6 Pegs											
COG56	Bayley3	Cognitive	b3c56	Pink Board Series: Completes											
COG57	Bayley3	Cognitive	b3c57	Uses pencil to obtain object											
COG58	Bayley3	Cognitive	b3c58	Blue Board Series: 4 Pieces											
COG59	Bayley3	Cognitive	b3c59	Attends to story											
COG60	Bayley3	Cognitive	b3c60	Rotated pink board											
COG61	Bayley3	Cognitive	b3c61	Object assembly (Ball)											
COG62	Bayley3	Cognitive	b3c62	Completes Pegboard: 25 Seconds											
COG63	Bayley3	Cognitive	b3c63	Object assembly (Ice Cream Cone)											
COG64	Bayley3	Cognitive	b3c64	Matches pictures											
COG65	Bayley3	Cognitive	b3c65	Representational play											
COG66	Bayley3	Cognitive	b3c66	Blue Board Series: Completes (75 seconds)											
COG67	Bayley3	Cognitive	b3c67	Imitates a two-step action.											
COG68	Bayley3	Cognitive	b3c68	Matches 3 colors											
COG69	Bayley3	Cognitive	b3c69	Imaginary play											
COG70	Bayley3	Cognitive	b3c70	Understands concept of one											
COG71	Bayley3	Cognitive	b3c71	Multischeme combination play											
COG72	Bayley3	Cognitive	b3c72	Concept Grouping: colour											
COG73	Bayley3	Cognitive	b3c73	Concept Grouping: Size											
COG74	Bayley3	Cognitive	b3c74	Compares masses											
COG75	Bayley3	Cognitive	b3c75	Matches size											
COG76	Bayley3	Cognitive	b3c76	Discriminates pictures											
COG77	Bayley3	Cognitive	b3c77	Simple pattern											
COG78	Bayley3	Cognitive	b3c78	Sorts pegs by colour											
COG79	Bayley3	Cognitive	b3c79	Counts (One-to-one correspondence)											
COG80	Bayley3	Cognitive	b3c80	Discriminates size											
COG81	Bayley3	Cognitive	b3c81	Identifies 3 incomplete pictures											
COG82	Bayley3	Cognitive	b3c82	Object assembly (Dog)											
COG83	Bayley3	Cognitive	b3c83	Discriminates patterns											
COG84	Bayley3	Cognitive	b3c84	Spatial memory											
COG85	Bayley3	Cognitive	b3c85	Counts (Cardinally)											
COG86	Bayley3	Cognitive	b3c86	Number constancy											
COG87	Bayley3	Cognitive	b3c87	Laces card											
COG88	Bayley3	Cognitive	b3c88	Classifies objects											
COG89	Bayley3	Cognitive	b3c89	Understands concept of more											
EXP10	Bayley3	Expressive	b3e10	Consonant-Vowel Combination Series: 1 Combination											
EXP11	Bayley3	Expressive	b3e11	Participates in play routine											
EXP12	Bayley3	Expressive	b3e12	Jabbers expressively											
EXP13	Bayley3	Expressive	b3e13	Consonant-Vowel Combination Series: 4 Combination											
EXP14	Bayley3	Expressive	b3e14	Uses one-word approximations											
EXP15	Bayley3	Expressive	b3e15	Directs attention of other											
EXP16	Bayley3	Expressive	b3e16	Imitates word											
EXP17	Bayley3	Expressive	b3e17	Initiates play interaction											
EXP18	Bayley3	Expressive	b3e18	Uses Words Appropriately Series: 2 words											
EXP19	Bayley3	Expressive	b3e19	Uses word to make wants known											
EXP20	Bayley3	Expressive	b3e20	Names Object Series: 1 Object											
EXP21	Bayley3	Expressive	b3e21	Combines word and gesture											
EXP22	Bayley3	Expressive	b3e22	Names Picture Series: 1 Picture											
EXP23	Bayley3	Expressive	b3e23	Uses Words Appropriately Series: 8 words											
EXP24	Bayley3	Expressive	b3e24	Answers yes or no verbally in response to questions											
EXP25	Bayley3	Expressive	b3e25	Imitates a two-word utterance											
EXP26	Bayley3	Expressive	b3e26	Uses a two-word utterance											
EXP27	Bayley3	Expressive	b3e27	Names Object Series: 3 Object											
EXP28	Bayley3	Expressive	b3e28	Names Picture Series: 5 Pictures											
EXP29	Bayley3	Expressive	b3e29	Uses multiple-word utterances											
EXP3	Bayley3	Expressive	b3e3	Vocalizes mood											
EXP30	Bayley3	Expressive	b3e30	Uses pronouns											
EXP31	Bayley3	Expressive	b3e31	Names Action Picture Series: 1 Picture											
EXP32	Bayley3	Expressive	b3e32	Poses multiple-word questions											
EXP33	Bayley3	Expressive	b3e33	Makes a contingent utterance											
EXP34	Bayley3	Expressive	b3e34	Uses verb +ing											
EXP35	Bayley3	Expressive	b3e35	Names Action Picture Series: 3 Pictures											
EXP36	Bayley3	Expressive	b3e36	Uses different word combinations											
EXP37	Bayley3	Expressive	b3e37	Names Action Picture Series: 5 Pictures											
EXP38	Bayley3	Expressive	b3e38	Uses plurals											
EXP39	Bayley3	Expressive	b3e39	Answers what or where questions											
EXP4	Bayley3	Expressive	b3e4	Undifferentiated nasal sounds											
EXP40	Bayley3	Expressive	b3e40	Uses possessives											
EXP41	Bayley3	Expressive	b3e41	Names 4 colours											
EXP42	Bayley3	Expressive	b3e42	Answers questions logically (Related to functions)											
EXP43	Bayley3	Expressive	b3e43	Tells how an object is used											
EXP44	Bayley3	Expressive	b3e44	Uses prepositions											
EXP45	Bayley3	Expressive	b3e45	Uses present progressive form											
EXP46	Bayley3	Expressive	b3e46	Describes Pictures Series: Uses 4-5 word sentences											
EXP47	Bayley3	Expressive	b3e47	Describes Pictures Series: Uses past tense											
EXP48	Bayley3	Expressive	b3e48	Describes Pictures Series: Uses future tense											
EXP5	Bayley3	Expressive	b3e5	Social vocalization or laughing											
EXP6	Bayley3	Expressive	b3e6	2 Vowel sounds											
EXP7	Bayley3	Expressive	b3e7	Gets attention											
EXP8	Bayley3	Expressive	b3e8	2 Consonant sounds											
EXP9	Bayley3	Expressive	b3e9	Uses gestures											
FM7	Bayley3	Fine Motor	b3f15	Block Series: Whole hand grasp											
FM8	Bayley3	Fine Motor	b3f16	Reaches unilaterally											
FM9	Bayley3	Fine Motor	b3f17	Food Pellet Series: Raking grasp											
FM10	Bayley3	Fine Motor	b3f18	Block Series: Partial thumb opposition											
FM11	Bayley3	Fine Motor	b3f19	Transfers ring											
FM13	Bayley3	Fine Motor	b3f20	Food Pellet Series: Whole hand grasp											
FM14	Bayley3	Fine Motor	b3f21	Transfers block											
FM15	Bayley3	Fine Motor	b3f22	Block Series: Thumb-fingertip grasp											
FM16	Bayley3	Fine Motor	b3f23	Brings spoons or blocks to midline											
FM17	Bayley3	Fine Motor	b3f24	Food Pellet Series: Partial thumb opposition											
FM18	Bayley3	Fine Motor	b3f25	Lifts cup by the handle											
FM19	Bayley3	Fine Motor	b3f26	Food Pellet Series: Thumb-fingertip grasp											
FM20	Bayley3	Fine Motor	b3f27	Turns pages of books											
FM21	Bayley3	Fine Motor	b3f28	Grasp series: Palmar grasp											
FM22	Bayley3	Fine Motor	b3f29	Isolates extended ring finger											
FM24	Bayley3	Fine Motor	b3f30	Scribbles spontaneously											
FM25	Bayley3	Fine Motor	b3f31	Block Stacking Series: 2 blocks											
FM26	Bayley3	Fine Motor	b3f32	Imitates Stroke Series: Random											
FM27	Bayley3	Fine Motor	b3f33	Places 10 pellets in bottle (60 seconds)											
FM28	Bayley3	Fine Motor	b3f34	Grasp series: Transitional grasp											
FM29	Bayley3	Fine Motor	b3f35	Coins in slot											
FM30	Bayley3	Fine Motor	b3f36	Connecting Blocks: Apart 											
FM31	Bayley3	Fine Motor	b3f37	Grasp Series: Intermediate (Tripod) grasp											
FM32	Bayley3	Fine Motor	b3f38	Block stacking Series: 6 blocks											
FM33	Bayley3	Fine Motor	b3f39	Uses hand to hold paper in place											
FM35	Bayley3	Fine Motor	b3f40	Imitates Strokes Series: Horizontal											
FM36	Bayley3	Fine Motor	b3f41	Imitates Strokes Series: Vertical											
FM37	Bayley3	Fine Motor	b3f42	Connecting Blocks: Together											
FM38	Bayley3	Fine Motor	b3f43	Imitates Strokes Series: Circular											
FM39	Bayley3	Fine Motor	b3f44	Builds train of blocks											
FM40	Bayley3	Fine Motor	b3f45	Strings 3 blocks											
FM41	Bayley3	Fine Motor	b3f46	Imitates hand movements											
FM42	Bayley3	Fine Motor	b3f47	Snips paper											
FM43	Bayley3	Fine Motor	b3f48	Grasp Series: Dynamic grasp											
FM44	Bayley3	Fine Motor	b3f49	Tactilely discriminates shapes											
FM46	Bayley3	Fine Motor	b3f50	Builds wall											
FM47	Bayley3	Fine Motor	b3f51	Cuts paper											
FM48	Bayley3	Fine Motor	b3f52	Builds bridge											
FM49	Bayley3	Fine Motor	b3f53	Imitates plus sign											
FM50	Bayley3	Fine Motor	b3f54	Block stacking Series: 8 blocks											
FM51	Bayley3	Fine Motor	b3f55	Cuts on line											
FM52	Bayley3	Fine Motor	b3f56	Builds T 											
FM53	Bayley3	Fine Motor	b3f57	Buttons 1 button											
FM54	Bayley3	Fine Motor	b3f58	Builds steps											
FM55	Bayley3	Fine Motor	b3f59	Traces designs											
FM57	Bayley3	Fine Motor	b3f60	Imitates square											
FM58	Bayley3	Fine Motor	b3f61	Copies plus sign											
FM59	Bayley3	Fine Motor	b3f62	Tapbs fingers											
FM60	Bayley3	Fine Motor	b3f63	Places 20 pellets in bottle											
FM61	Bayley3	Fine Motor	b3f64	Cuts circle											
FM62	Bayley3	Fine Motor	b3f65	Cuts square											
FM63	Bayley3	Fine Motor	b3f66	Copies square											
GM19	Bayley3	Gross Motor	b3g19	Sits with Support Series: 30 seconds											
GM20	Bayley3	Gross Motor	b3g20	Rolls from back to sides											
GM21	Bayley3	Gross Motor	b3g21	Elevates Trunk while Prone Series: Extended arms											
GM22	Bayley3	Gross Motor	b3g22	Sits with Support Series: 5 seconds											
GM23	Bayley3	Gross Motor	b3g23	Pulls up to sit											
GM24	Bayley3	Gross Motor	b3g24	Grasps foot with hands											
GM25	Bayley3	Gross Motor	b3g25	Rolls from back to stomach											
GM26	Bayley3	Gross Motor	b3g26	Sits without Support Series: 30 seconds											
GM27	Bayley3	Gross Motor	b3g27	Sits without support and holds objects											
GM28	Bayley3	Gross Motor	b3g28	Rotates trunk while seated											
GM29	Bayley3	Gross Motor	b3g29	Makes stepping movements											
GM30	Bayley3	Gross Motor	b3g30	Crawls Series: On stomach											
GM31	Bayley3	Gross Motor	b3g31	Crawls Series: Crawl position											
GM32	Bayley3	Gross Motor	b3g32	Moves from sitting to hands and knees											
GM33	Bayley3	Gross Motor	b3g33	Supports weight											
GM34	Bayley3	Gross Motor	b3g34	Crawls Series: Crawl movement											
GM35	Bayley3	Gross Motor	b3g35	Raises self to standing position											
GM36	Bayley3	Gross Motor	b3g36	Bounces while standing											
GM37	Bayley3	Gross Motor	b3g37	Walks Series: With support											
GM38	Bayley3	Gross Motor	b3g38	Walks sideways with support											
GM39	Bayley3	Gross Motor	b3g39	Sits down with control											
GM40	Bayley3	Gross Motor	b3g40	Stands alone											
GM41	Bayley3	Gross Motor	b3g41	Stands up Series: Alone											
GM42	Bayley3	Gross Motor	b3g42	Walks Series: Alone											
GM43	Bayley3	Gross Motor	b3g43	Walks Series: Alone with coordination											
GM44	Bayley3	Gross Motor	b3g44	Throws ball											
GM45	Bayley3	Gross Motor	b3g45	Squats without support											
