key	item	tau	label	instrument	domain	mode	number
gsed2212	gs1moc044	30.14	Can your child roll from his/her back to stomach, or stomach to back, on his/her own?	gs1	mo	c	044
gsed2212	gs1moc045	31.35	Does your child play by tapping an object on the ground or a table?	gs1	mo	c	045
gsed2212	gs1cgc046	31.41	Does the child look for an object of interest when it is removed from sight or hidden from him/her (e.g., put under a cover, behind another object)?	gs1	cg	c	046
gsed2212	gs1moc047	31.59	Can your child hold him/herself in a sitting position without help or support for longer than a few seconds?	gs1	mo	c	047
gsed2212	gs1moc048	32.53	Does your child intentionally move or change his/her position to get objects that are out of reach?	gs1	mo	c	048
gsed2212	gs1lgc049	32.63	Does your child make two similar sounds together like baba, mumu, pepe, didi (single consonant vowel combinations)?	gs1	lg	c	049
gsed2212	gs1moc050	32.59	When you put your child on the floor, can she lean on her hands while sitting? (If she already sits up straight without leaning on her hands, mark 'yes' for this item.).	gs1	mo	c	050
gsed2212	gs1moc051	34.68	Can your child pass a small object from one hand to the other?	gs1	mo	c	051
gsed2212	gs1moc052	36.65	Can your child bang objects together, or bang an object on the table or on the ground?	gs1	mo	c	052
gsed2212	gs1lic053	35.45	Can your child pick up small bits of food and feed him/her-self using his/her hand?	gs1	li	c	053
gsed2212	gs1moc054	37.63	Can your child pick up and drop a small object (e.g., a small toy or small stone) into a bucket or bowl while sitting?	gs1	mo	c	054
gsed2212	gs1moc055	37.43	Can your child maintain a standing position while holding on to a person or object (e.g., wall or furniture)?	gs1	mo	c	055
gsed2212	gs1moc056	38.39	Can your child pick up a small object (e.g., a piece of food, small toy or small stone) with just his/her thumb and one finger?	gs1	mo	c	056
gsed2212	gs1moc057	40.1	Can your child pull themselves up from the floor while holding onto something? For example, can they pull themselves up using a chair, a person, or some other object?	gs1	mo	c	057
gsed2212	gs1lgc058	41.17	Does your child stop what he/she is doing when you say 'Stop!' even if just for a second?	gs1	lg	c	058
gsed2212	gs1moc059	42.33	Can your child walk several steps while holding on to a person or object (e.g., wall or furniture)?	gs1	mo	c	059
gsed2212	gs1moc060	43.21	While holding onto furniture, does your child bend down and pick up a small object from the floor and then return to a standing position?	gs1	mo	c	060
gsed2212	gs1moc061	43.47	While holding onto furniture, does your child squat with control (without falling or flopping down)?	gs1	mo	c	061
gsed2212	gs1lgc062	44.73	Does your child make a gesture to indicate 'No' (e.g., shaking head)?	gs1	lg	c	062
gsed2212	gs1sec063	45.7	Even if your child is unable to do singing games, does he/she enjoy them and want to be a part of them?	gs1	se	c	063
gsed2212	gs1moc064	46.34	Can your child stand up without holding onto anything, even if just for a few seconds?	gs1	mo	c	064
gsed2212	gs1lic065	47.23	Does your child put his/her hands out to have them washed?	gs1	li	c	065
gsed2212	gs1moc066	47.58	Can your child maintain a standing position on his/her own, without holding on or receiving support?	gs1	mo	c	066
gsed2212	gs1lic067	48.15	Can your child drink from an open  cup without help?	gs1	li	c	067
gsed2212	gs1moc068	48.06	Can your child climb onto an object (rock, porch, step, chair, bed, low table, etc.)?	gs1	mo	c	068
gsed2212	gs1moc069	48.78	Can your child make any light marks on paper or in dirt with a crayon or a stick?	gs1	mo	c	069
gsed2212	gs1moc070	48.97	Can your child bend down or squat to pick up an object from the floor and then stand up again, without help from a person or object?	gs1	mo	c	070
gsed2212	gs1lgc071	49.34	Can your child follow a simple spoken command or direction without you making a gesture?	gs1	lg	c	071
gsed2212	gs1lgc072	49.36	Can your child fetch something when asked?	gs1	lg	c	072
gsed2212	gs1sec073	49.84	Does your child share with others (e.g., food)?	gs1	se	c	073
gsed2212	gs1moc074	49.6	Can your child take several steps (3-5) forward without holding onto any person or object, even if they fall down immediately afterward?	gs1	mo	c	074
gsed2212	gs1moc075	49.9	While standing, can your child purposefully throw the ball and not just drop it?	gs1	mo	c	075
gsed2212	gs1moc076	50.17	Can your child stand up from sitting by himself and take several steps forward?	gs1	mo	c	076
gsed2212	gs1lic077	49.99	Can your child break off pieces of food and feed them to him/her-self?	gs1	li	c	077
gsed2212	gs1moc078	50.23	Can your child make a scribble on paper, or in dirt, in a back and forth manner? For example, can he or she move the pen or pencil or stick back and forth?	gs1	mo	c	078
gsed2212	gs1moc079	50.6	Can your child move around by walking, rather than by crawling on his hands and knees?	gs1	mo	c	079
gsed2212	gs1moc080	51.49	Can your child walk well, with coordination, without falling down often? With one foot in front of the other (rather than shifting weight side to side, stiff- legged)?	gs1	mo	c	080
gsed2212	gs1moc081	51.66	Can your child stack at least two objects on top of each other, such as bottle tops, blocks, stones, etc.?	gs1	mo	c	081
gsed2212	gs1sec082	52.79	Can your child greet people either by giving his/her hand or saying Hello?	gs1	se	c	082
gsed2212	gs1moc083	53.05	Can your child kick a ball or other round object forward using his/her foot?	gs1	mo	c	083
gsed2212	gs1lgc084	53.97	Can your child say five or more separate words (e.g., names like 'Mama' or objects like 'ball')?	gs1	lg	c	084
gsed2212	gs1cgc085	54.92	Can your child follow directions with more than one step? For example, 'Go to the kitchen and bring me a spoon'?	gs1	cg	c	085
gsed2212	gs1lgc086	56.03	Can your child correctly name at least one family member other than mom and dad (e.g., name of brother, sister, aunt, uncle)?	gs1	lg	c	086
gsed2212	gs1lgc087	56.1	Can your child identify at least seven objects? For example, when you ask 'where is the ball/spoon/cup/cloth/door/plate/bucket etc.' does your child look at or point to (or even name) the objects?	gs1	lg	c	087
gsed2212	gs1lgc088	56.1	Can your child ask for something (e.g., food, water) by name when he/she wants it?	gs1	lg	c	088
gsed2212	gs1moc089	56.68	Can your child run well, without falling or bumping into objects?	gs1	mo	c	089
gsed2212	gs1lic090	56.72	Can your child wash hands by him/herself?	gs1	li	c	090
gsed2212	gs1moc091	57.08	While standing, can your child kick a ball by swinging his/her leg forward?	gs1	mo	c	091
gsed2212	gs1lic092	57.19	Does your child dry hands by herself/himself after you have washed them?	gs1	li	c	092
gsed2212	gs1sec093	57.23	Does your child show independence (e.g., wants to go and visit a friends house)?	gs1	se	c	093
gsed2212	gs1lgc094	57.49	If you show your child an object he/she knows well (e.g., a cup or animal), can he/she consistently name it?	gs1	lg	c	094
gsed2212	gs1moc095	58	Can your child stack three or more small objects (e.g., blocks, cups, bottle caps) on top of each other?	gs1	mo	c	095
gsed2212	gs1moc096	59.32	Can your child walk on an uneven surface (e.g., a bumpy or steep road) without falling?	gs1	mo	c	096
gsed2212	gs1lgc097	59.88	Does your child usually communicate with words what he/she wants in a way that is understandable to others?	gs1	lg	c	097
gsed2212	gs1lgc098	60.22	Can your child say ten or more words in addition to 'Mama' and 'Dada'?	gs1	lg	c	098
gsed2212	gs1lgc099	60.55	When looking at pictures, if you say to your child 'what is this?', can they say the name of the object that you point to?	gs1	lg	c	099
gsed2212	gs1lgc100	60.86	Can your child speak using short sentences of two words that go together (e.g., 'Mama go' or 'Dada eat'?	gs1	lg	c	100
gsed2212	gs1moc101	61.06	Can your child unscrew the lid from a bottle or jar?	gs1	mo	c	101
gsed2212	gs1sec102	62.29	Does your child help out around the house with simple chores, even if he/she doesn't do them well?	gs1	se	c	102
gsed2212	gs1lic103	63.17	Is your child able to go poo or pee without having accidents (wetting or soiling themselves)?	gs1	li	c	103
gsed2212	gs1lgc104	63.18	Can your child speak using sentences of three or more words that go together (e.g., 'I want water' or 'The house is big')?	gs1	lg	c	104
gsed2212	gs1lgc105	63.2	Can your child name at least two body parts (e.g., arm, eye, or nose)?	gs1	lg	c	105
gsed2212	gs1lic106	63.53	Can your child remove an item of clothing (e.g., take off his/her shirt)?	gs1	li	c	106
gsed2212	gs1lgc107	63.57	Can your child say 15 or more separate words (e.g., names like 'Mama' or objects like 'ball')?	gs1	lg	c	107
gsed2212	gs1moc108	64.14	Can your child jump with both feet leaving the ground?	gs1	mo	c	108
gsed2212	gs1lgc109	64.35	Can your child tell you or someone familiar his/her own name [nickname] when asked to?	gs1	lg	c	109
gsed2212	gs1lgc110	64.82	Can your child correctly ask questions using any of the words 'what,' 'which,' 'where,' or 'who'?	gs1	lg	c	110
gsed2212	gs1sec111	65.55	Does your child show respect around elders?	gs1	se	c	111
gsed2212	gs1lgc112	65.72	Can your child correctly use any of the words 'I,' 'you,' 'she,' or 'he' (e.g., 'I go to store,' or 'He eats rice')?	gs1	lg	c	112
gsed2212	gs1lgc113	65.81	Can your child sing a short song or repeat parts of a rhyme from memory by him/herself?	gs1	lg	c	113
gsed2212	gs1cgc114	65.97	Does your child know the difference between the words 'big' and 'small'? For example, if you ask, 'Give me the big spoon' can your child understand which one to give if there are two different sizes?	gs1	cg	c	114
gsed2212	gs1lgc115	66.09	Does your child pronounce most of his/her words correctly?	gs1	lg	c	115
gsed2212	gs1lic116	66.16	Can your child go to the toilet by him/her-self?	gs1	li	c	116
gsed2212	gs1lgc117	67.69	If you point to an object, can your child correctly use the words 'on,' 'in,' or 'under' to describe where it is (e.g., 'The cup is on the table' instead of 'The cup is in the table.')	gs1	lg	c	117
gsed2212	gs1lic118	67.7	Can your child  put on at least one piece of clothing by himself?	gs1	li	c	118
gsed2212	gs1lgc119	67.74	Can your child explain in words what common objects like a cup or chair are used for?	gs1	lg	c	119
gsed2212	gs1moc120	68.37	Can your child draw a straight line?	gs1	mo	c	120
gsed2212	gs1lgc121	69.48	Can your child say what he/she likes or dislikes (e.g., 'I like sweets')?	gs1	lg	c	121
gsed2212	gs1cgc122	69.55	If you show your child two objects or people of different size, can he/she tell you which one is the big one and which is the small one?	gs1	cg	c	122
gsed2212	gs1lgc123	69.72	Does your child regularly use describing words such as 'fast,' 'short,' 'hot,' 'fat,' or 'beautiful' correctly?	gs1	lg	c	123
gsed2212	gs1sec124	70.54	Does your child know to keep quiet when the situation requires it? (e.g., at ceremonies, when someone is asleep)	gs1	se	c	124
gsed2212	gs1lgc125	71.94	Does your child ask 'why' questions (e.g., 'Why are you tall?')?	gs1	lg	c	125
gsed2212	gs1moc126	72.23	Can your child stand on one foot WITHOUT any support for at least a few seconds?	gs1	mo	c	126
gsed2212	gs1cgc127	72.24	If you ask your child to give you three objects (e.g., stones, beans), does the child give you the correct amount?	gs1	cg	c	127
gsed2212	gs1cgc128	72.48	Does your child understand the term 'longest'? For example, if you ask him/her to choose 'which is the longest of 3 objects?' (e.g. 3 spoons or sticks), would he/she be able to choose the longest?	gs1	cg	c	128
gsed2212	gs1lgc129	72.64	Can your child talk about things that have happened in the past using correct language (e.g., 'Yesterday I played with my friend' or 'Last week she went to the market')?	gs1	lg	c	129
gsed2212	gs1lgc130	74.03	Can your child tell a story?	gs1	lg	c	130
gsed2212	gs1sec131	74.11	Can your child tell you when he/she is happy, angry, or sad?	gs1	se	c	131
gsed2212	gs1cgc132	74.43	Can the child name at least one color (e.g., red, blue, yellow)?	gs1	cg	c	132
gsed2212	gs1cgc133	74.57	Can your child count objects up to five  (e.g., fingers, people)?	gs1	cg	c	133
gsed2212	gs1moc134	74.67	If you draw a circle can your child do it, just as you did?	gs1	mo	c	134
gsed2212	gs1sec135	74.75	Can your child tell you when others are happy, angry, or sad?	gs1	se	c	135
gsed2212	gs1lgc136	74.91	Can your child talk about things that will happen in the future using correct language (e.g., 'Tomorrow he will attend school' or 'Next week we will go to the market')?	gs1	lg	c	136
gsed2212	gs1moc137	75.89	Can the child fasten and unfasten buttons without help?	gs1	mo	c	137
gsed2212	gs1lic138	76.6	Can your child dress him/herself completely (except for shoelaces, buttons and zippers)?	gs1	li	c	138
gsed2212	gs1sec139	79.27	Can your child say what others like or dislike (e.g., 'Mama doesn't like fruit,' Papa likes football)?	gs1	se	c	139
gsed2212	gl1aad001	8.78	Moves body in reaction to caregiver	gl1	aa	d	001
gsed2212	gl1aad002	9	Moves body, kicking legs and moving arms equally on his/her own	gl1	aa	d	002
gsed2212	gl1aad003	21.55	Pulls to sit - no head lag	gl1	aa	d	003
gsed2212	gl1aad004	20	Lifts head in prone 45 degrees	gl1	aa	d	004
gsed2212	gl1aad005	26.63	Lifts head, shoulders, chest when prone (2X)	gl1	aa	d	005
gsed2212	gl1aad006	16.86	Puts hands together in front of face	gl1	aa	d	006
gsed2212	gl1aad007	23	Carries object to mouth to explore (2X)	gl1	aa	d	007
gsed2212	gl1aad008	26.65	Reaches for an object (2X)	gl1	aa	d	008
gsed2212	gl1aad009	21.19	Grasps hold of large object (2X)	gl1	aa	d	009
gsed2212	gl1aad010	17.69	Balances head while supported	gl1	aa	d	010
gsed2212	gl1aad011	25.14	Sits supported (with help) (2X)	gl1	aa	d	011
gsed2212	gl1aad012	22.15	Resists object being taken away (2X)	gl1	aa	d	012
gsed2212	gl1aad013	27.94	Sees a small object	gl1	aa	d	013
gsed2212	gl1aad014	30.36	Sits momentarily (on his/her own)	gl1	aa	d	014
gsed2212	gl1aad015	29.69	Sits without help (short time) (2X)	gl1	aa	d	015
gsed2212	gl1aad016	27.94	Picks object from ground (2X)	gl1	aa	d	016
gsed2212	gl1aad017	33.98	Rolls from back to stomach (2X)	gl1	aa	d	017
gsed2212	gl1aad018	30.14	Sits by self well (2X)	gl1	aa	d	018
gsed2212	gl1aad019	34.37	Rakes (grasps with 3 or 4 fingers) a small object (2X)	gl1	aa	d	019
gsed2212	gl1aad020	35.57	Turns on floor (2X)	gl1	aa	d	020
gsed2212	gl1aad021	40	Moves from lying to sitting	gl1	aa	d	021
gsed2212	gl1aad022	37.41	Stands with support (2X)	gl1	aa	d	022
gsed2212	gl1aad023	35.97	Reaches for a second object (2X)	gl1	aa	d	023
gsed2212	gl1aad024	38.99	Crawls (2X)	gl1	aa	d	024
gsed2212	gl1aad025	40.48	Pulls up to standing position	gl1	aa	d	025
gsed2212	gl1aad026	39.97	Shifts object from 1 hand to the other (2X)	gl1	aa	d	026
gsed2212	gl1aad027	36.8	Picks up small object between thumb and finger (2X)	gl1	aa	d	027
gsed2212	gl1aad028	44.33	Walks when 1 hand held	gl1	aa	d	028
gsed2212	gl1aad029	47.33	Stands alone for 5 seconds or more if put in standing position (2X)	gl1	aa	d	029
gsed2212	gl1aad030	48.19	Plays "give-and-take" (3X)	gl1	aa	d	030
gsed2212	gl1aad031	48.46	Takes few steps alone (2X)	gl1	aa	d	031
gsed2212	gl1aad032	46.83	Walks	gl1	aa	d	032
gsed2212	gl1aad033	54.44	Runs (basic), may fall over (2X)	gl1	aa	d	033
gsed2212	gl1aad034	50.31	Stoops and recovers (2X)	gl1	aa	d	034
gsed2212	gl1aad035	50	Releases ball purposefully	gl1	aa	d	035
gsed2212	gl1aad036	81.44	Runs well (2X)	gl1	aa	d	036
gsed2212	gl1aad037	56.07	Kicks a ball from stationary position (2X)	gl1	aa	d	037
gsed2212	gl1aad038	61.2	Runs and kicks a ball well (2X)	gl1	aa	d	038
gsed2212	gl1aad039	69.42	Kneels and then stands, without using hands (2X)	gl1	aa	d	039
gsed2212	gl1aad040	69.89	Hops forward on 1 foot 3 steps (2X)	gl1	aa	d	040
gsed2212	gl1aad041	72.36	Jumps with both feet together (2X)	gl1	aa	d	041
gsed2212	gl1aad042	70.84	Jumps over a piece of paper (widthways) (2X)	gl1	aa	d	042
gsed2212	gl1aad043	71.83	Walks along line heel- to- toe (2X)	gl1	aa	d	043
gsed2212	gl1aad044	73.16	Throws bean bag onto a cloth (3X)	gl1	aa	d	044
gsed2212	gl1aad045	74.83	Stands on 1 foot <= 5 seconds (2X)	gl1	aa	d	045
gsed2212	gl1aad046	78.74	Walks on tiptoes 6 or more steps (2X)	gl1	aa	d	046
gsed2212	gl1aad047	69.41	Moves from sitting to standing without using hands	gl1	aa	d	047
gsed2212	gl1aad048	83.19	Stands on 1 foot > 5 seconds (2X)	gl1	aa	d	048
gsed2212	gl1aad049	85.38	Throws ball up into the air and catches it (3X)	gl1	aa	d	049
gsed2212	gl1bbd001	19.12	Makes sounds or vocalizes (2X)	gl1	bb	d	001
gsed2212	gl1bbd002	8.47	Reacts when spoken to (2X)	gl1	bb	d	002
gsed2212	gl1bbd003	13.22	Smiles in response (2X)	gl1	bb	d	003
gsed2212	gl1bbd004	24.62	Laughs (2X)	gl1	bb	d	004
gsed2212	gl1bbd005	5.33	Calms and quiets with caregiver	gl1	bb	d	005
gsed2212	gl1bbd006	23.47	Vocalizes when spoken to	gl1	bb	d	006
gsed2212	gl1bbd007	25.43	Turns to voice (2X)	gl1	bb	d	007
gsed2212	gl1bbd008	34.77	Babbles while playing	gl1	bb	d	008
gsed2212	gl1bbd009	35.25	Repeats syllables	gl1	bb	d	009
gsed2212	gl1bbd010	46.44	Uses gestures to communicate	gl1	bb	d	010
gsed2212	gl1bbd011	46.62	Uses 2 - 4 syllable babble	gl1	bb	d	011
gsed2212	gl1bbd012	50.16	Responds to verbal request (2X)	gl1	bb	d	012
gsed2212	gl1bbd013	50.92	Uses 1 definite word	gl1	bb	d	013
gsed2212	gl1bbd014	52.67	Understands when being cautioned (2X)	gl1	bb	d	014
gsed2212	gl1bbd015	53.15	Imitates simple words	gl1	bb	d	015
gsed2212	gl1bbd016	53.81	Follows simple commands (1 step) (2X)	gl1	bb	d	016
gsed2212	gl1bbd017	57.89	Points to 2 pictures	gl1	bb	d	017
gsed2212	gl1bbd018	54.92	Identifies 2 objects you name (2X)	gl1	bb	d	018
gsed2212	gl1bbd019	56.94	Identifies 5 objects you name (2X)	gl1	bb	d	019
gsed2212	gl1bbd020	58.67	Identifies 1 item of clothing	gl1	bb	d	020
gsed2212	gl1bbd021	62.34	Identifies 3 items of clothing	gl1	bb	d	021
gsed2212	gl1bbd022	59.7	Points to 1 or more body parts (2X)	gl1	bb	d	022
gsed2212	gl1bbd023	60.6	Points at 5 pictures in book	gl1	bb	d	023
gsed2212	gl1bbd024	53.24	Shows Interest in story	gl1	bb	d	024
gsed2212	gl1bbd025	61.32	Follows 2-step commands (2X)	gl1	bb	d	025
gsed2212	gl1bbd026	63.12	Says sentences with 2 words together	gl1	bb	d	026
gsed2212	gl1bbd027	63.45	Names 4 pictures	gl1	bb	d	027
gsed2212	gl1bbd028	63.56	Uses 5 clear words	gl1	bb	d	028
gsed2212	gl1bbd029	64.44	Matches pictures	gl1	bb	d	029
gsed2212	gl1bbd030	65.66	Names 5 objects (2X)	gl1	bb	d	030
gsed2212	gl1bbd031	66.97	Uses multiple-word utterances	gl1	bb	d	031
gsed2212	gl1bbd032	65.91	Speaks clearly in sentences	gl1	bb	d	032
gsed2212	gl1bbd033	67.6	Knows actions or functions of 3 or more objects	gl1	bb	d	033
gsed2212	gl1bbd034	68.74	Points to parts of whole objects	gl1	bb	d	034
gsed2212	gl1bbd035	69.81	Says first name (2X)	gl1	bb	d	035
gsed2212	gl1bbd036	70.24	Names 10 objects (2X)	gl1	bb	d	036
gsed2212	gl1bbd037	72.07	Understands "more"	gl1	bb	d	037
gsed2212	gl1bbd038	81.73	Identifies 2 or more colours (2X)	gl1	bb	d	038
gsed2212	gl1bbd039	71.54	Knows use of objects (2X)	gl1	bb	d	039
gsed2212	gl1bbd040	85.58	Names at least 2 colours	gl1	bb	d	040
gsed2212	gl1bbd041	72.61	Identifies 5 action pictures	gl1	bb	d	041
gsed2212	gl1bbd042	80.83	Identifies at least 2 shapes (2X)	gl1	bb	d	042
gsed2212	gl1bbd043	74.67	Taps with 2 blocks	gl1	bb	d	043
gsed2212	gl1bbd044	75.75	Talks easily about daily events	gl1	bb	d	044
gsed2212	gl1bbd045	79.55	Describes picture (2X)	gl1	bb	d	045
gsed2212	gl1bbd046	76.25	Gives logical response to a question (2X)	gl1	bb	d	046
gsed2212	gl1bbd047	79.78	Categorizes things	gl1	bb	d	047
gsed2212	gl1bbd048	76.09	Matches 3 colours (2X)	gl1	bb	d	048
gsed2212	gl1bbd049	71.77	Understands adjective "faster" (2X)	gl1	bb	d	049
gsed2212	gl1bbd050	83.21	Taps with 4 blocks	gl1	bb	d	050
gsed2212	gl1bbd051	73.24	Names actions (5)	gl1	bb	d	051
gsed2212	gl1bbd052	86.08	Taps with 8 blocks	gl1	bb	d	052
gsed2212	gl1ccd001	8.61	Eyes fixate (2X)	gl1	cc	d	001
gsed2212	gl1ccd002	13.81	Responds to sound (2X)	gl1	cc	d	002
gsed2212	gl1ccd003	25.02	Fixes and follows - 180 degrees	gl1	cc	d	003
gsed2212	gl1ccd004	25.88	Manipulates cup OR spoon in play	gl1	cc	d	004
gsed2212	gl1ccd005	26.19	Shows interest in making a sound (2X)	gl1	cc	d	005
gsed2212	gl1ccd006	28.79	Turns head towards fallen object (2X)	gl1	cc	d	006
gsed2212	gl1ccd007	31.39	Discriminates strangers	gl1	cc	d	007
gsed2212	gl1ccd008	37.6	Picks up cup to get block	gl1	cc	d	008
gsed2212	gl1ccd009	38.18	Finds toy under cloth (2X)	gl1	cc	d	009
gsed2212	gl1ccd010	38.16	Pulls string to get object (2X)	gl1	cc	d	010
gsed2212	gl1ccd011	43.13	Lifts cup by the handle (2X)	gl1	cc	d	011
gsed2212	gl1ccd012	43.8	Puts block in cup	gl1	cc	d	012
gsed2212	gl1ccd013	44.79	Bangs 2 objects together	gl1	cc	d	013
gsed2212	gl1ccd014	45.32	Pats toy to make noise	gl1	cc	d	014
gsed2212	gl1ccd015	46.48	Makes marks with crayon	gl1	cc	d	015
gsed2212	gl1ccd016	46.99	Puts 3 or more blocks in cup	gl1	cc	d	016
gsed2212	gl1ccd017	42.73	Puts blocks in jar	gl1	cc	d	017
gsed2212	gl1ccd018	48.54	Puts 1 peg in again (2X)	gl1	cc	d	018
gsed2212	gl1ccd019	48.57	Scribbles in any way (2X)	gl1	cc	d	019
gsed2212	gl1ccd020	48.79	Accepts third block without dropping (2X)	gl1	cc	d	020
gsed2212	gl1ccd021	50.06	Uses objects in play by him-/herself (2X)	gl1	cc	d	021
gsed2212	gl1ccd022	49.91	Manages a cup well	gl1	cc	d	022
gsed2212	gl1ccd023	50.28	Holds crayon with fingers, not fist (2X)	gl1	cc	d	023
gsed2212	gl1ccd024	50.4	Repeats something when encouraged (2X)	gl1	cc	d	024
gsed2212	gl1ccd025	53.17	Dumps blocks out of jar purposefully (2X)	gl1	cc	d	025
gsed2212	gl1ccd026	53.89	Builds tower of 2 blocks (2X)	gl1	cc	d	026
gsed2212	gl1ccd027	54.14	Puts pegs in board <= 2 minutes (2X)	gl1	cc	d	027
gsed2212	gl1ccd028	57.38	Builds tower of 3 blocks (2X)	gl1	cc	d	028
gsed2212	gl1ccd029	58.75	Finds object under 2 alternating cups	gl1	cc	d	029
gsed2212	gl1ccd030	59.52	Places 2 shapes in board (2X)	gl1	cc	d	030
gsed2212	gl1ccd031	62.26	Places 3 shapes in board in 2 minutes (2X)	gl1	cc	d	031
gsed2212	gl1ccd032	64.17	Uses objects in play with someone	gl1	cc	d	032
gsed2212	gl1ccd033	65.05	Scribbles on paper (circular scribble)	gl1	cc	d	033
gsed2212	gl1ccd034	65.26	Builds tower of 6 blocks (2X)	gl1	cc	d	034
gsed2212	gl1ccd035	66.1	Understands the concept of "1" (2X)	gl1	cc	d	035
gsed2212	gl1ccd036	66.23	Places 3 shapes in rotated board in 2 minutes (2X)	gl1	cc	d	036
