ID.VWO1996	ID.VWO2005	ID.VWO1983	ID.smock	ID.GHAP	occ	labelNL	labelEN	tau	m	LR	hot
v40	v40	NA	NA	NA	8	Begrijpt spelopdrachtjes (M)	Understand play orders	NA	1	0	0
v13	v13	v38	v1512	GSMK2CB	8	Stapelt twee blokjes	Builds tower of two cubes	56,4	1	1	1
NA	NA	NA	NA	GSMK2CBR	8	Stapelt twee blokjes -r	Builds tower of two cubes-r	NA	1	1	1
NA	NA	NA	v1513	GSMK2CBL	8	Stapelt twee blokjes -l	Builds tower of two cubes-l	NA	1	1	1
v14	v14	v39	v1514	GSEXPLR	8	Gaat op onderzoek uit (M)	Explores environment	46,9	1	0	1
v39	v39	v40	v1515	GSTHRWRD	8	Zegt 3 woorden (M)	"Says 3 ""words"""	53,2	1	0	1
na4	NA	v41	v1516	GSIDOBJ	8	Wijzen/pakken twee voorwerpen	Identfies (point / graps) two mentioned objects	55,4	1	0	1
v67	v68	v42	v1517	GSWLKOWN	8	Loopt los	Walks on his/her own	51,9	1	0	1
v68	v69	v43	v1518	GSTBALL	8	Gooit bal zonder om te vallen	Throws ball without falling down	56	1	0	1
NA	NA	NA	NA	GSTBALLR	8	Gooit bal zonder om te vallen -r	Throws ball without falling down-r	NA	1	0	1
NA	NA	NA	v1519	GSTBALLL	8	Gooit bal zonder om te vallen -l	Throws ball without falling down-l	NA	1	0	1
v42	v42	NA	NA	NA	9	Wijst 6 lichaamsdelen aan bij pop (M)	Points at 6 parts of body of a doll	NA	1	0	0
v15	v15	v44	v1520	GSMK3CB	9	Stapelt 3 blokjes	Builds tower of three cubes	59,2	1	1	1
NA	NA	NA	NA	GSMK3CBR	9	Stapelt 3 blokjes -r	Builds tower of three cubes -r	NA	1	1	1
NA	NA	NA	v1521	GSMK3CBL	9	Stapelt 3 blokjes -l	Builds tower of three cubes-l	NA	1	1	1
v16	v16	v45	v1522	GSIMITAT	9	Doet anderen na (M)	Imitates others 	52,3	1	0	1
na10	NA	v46	v1523	GSDRNKCP	9	Drinkt zelf uit beker	"Drink from cup by him/herself (M; can ask parents)"	58,5	1	0	1
v41	v41	v47	v1524	GSTWOSEN	9	Zegt zinnen van 2 woorden (M)	"Says ""sentences""of 2 words"	60,2	1	0	1
na5	NA	v48	v1525	GSPUTBAL	9	Doet op verzoek bal in doos	Puts ball in box when asked	57,8	1	0	1
v69	v70	v49	v1526	GSPKSQ	9	Raapt vanuit hurkzit iets op	Squats or bends to pick up things	55,3	1	0	1
v70	v68b	v50	v1527	GSWLKWH	9	Loopt goed los	Walks well without help	55,5	1	0	1
v72	v72	NA	NA	NA	10	Kan in zit soepel roteren	Can rotate fluently in sitting postion	NA	1	0	0
v17	v17	v51	v1528	GSMKTW6	10	Stapelt 6 blokjes	Builds tower of 6 cubes	62,6	1	0	1
v18	v18	v52	v1529	GSPUTFIG	10	Plaatst ronde vorm in stoof	Places round form in form-box	60,3	1	0	1
v19	v19	v53	v1530	GSTKCLO	10	Trekt kledingstuk uit (M)	Undresses himself	60,6	1	0	1
na6	NA	v54	v1531	GSEATSPN	10	Eet zelf met lepel (M)	"Eats with spoon without help (M; can ask parents)"	58,5	1	0	1
v43	v43	v55	v1532	GSREFER	10	Noemt zichzelf mij of ik  (M)	"Refers to self using ""me"" or ""I"""	61,7	1	0	1
v44	v44	v56	v1533	GSID5OBJ	10	Wijst 5 plaatjes aan in boek	Points at 5 pictures in the book	62,2	0	0	1
v71	v71	v57	v1534	GSKIK	10	Schopt bal weg	Kicks ball	64,2	1	1	1
NA	NA	NA	NA	GSKIKR	10	Schopt bal weg -r	Kicks ball -r	NA	1	1	1
NA	NA	NA	v1535	GSKIKL	10	Schopt bal weg -l	Kicks ball-l	NA	1	1	1
v20	v20	NA	NA	NA	11	Bouwt vrachtauto na	Imitates building a truck	NA	1	0	0
v21	v21	NA	NA	NA	11	Plaatst 3 vormen in stoof	Places 3 forms in form-box	NA	1	0	0
v22	v22	NA	NA	NA	11	Tekent verticale lijn na	Imitates drawing a vertical line	NA	1	0	0
v45	v45	NA	NA	NA	11	Zegt zinnen van 3 of meer woorden (M)	"Says ""sentences"" of 3 or more words"	NA	1	0	0
v46	v46	NA	NA	NA	11	Is verstaanbaar voor bekenden (M)	Speech is understood by acquaintances	NA	1	0	0
v73	v68c	NA	NA	NA	11	Loopt soepel	Walks alone, Walks smoothly	NA	1	0	0
v74	v73	NA	NA	NA	11	Fietst (op driewieler) (M)	Rides (tri)cycle	NA	1	0	0
v23	v23	NA	NA	NA	12	Bouwt brug na	Imitates building a bridge	NA	1	0	0
v24	v24	NA	NA	NA	12	Plaatst 4 vormen in stoof	Places 4 forms in form-box	NA	1	0	0
v25	v25	NA	NA	NA	12	Trekt eigen kledingstuk aan (M)	Puts on own farment	NA	1	0	0
v47	v47	NA	NA	NA	12	Praat spontaan over gebeurtenissen thuis (M)	Talks spontaneously about events at home/playgroup	NA	1	0	0
v48	v48	NA	NA	NA	12	Stelt vragen naar wie, wat, waar, hoe (M)	"Asks questions about ""who"", ""what"", ""where"" and ""how"""	NA	1	0	0
v75	v74	NA	NA	NA	12	Springt met beide voeten tegelijk	Jumps with both feet simultaneously	NA	1	0	0
v26	v27	NA	NA	NA	13	Houdt potlood met vingers vast	Holds pencil with fingers	NA	1	0	0
v27	v26	NA	NA	NA	13	Tekent cirkel na	Copies a circle	NA	1	0	0
v49	v49	NA	NA	NA	13	Is goed verstaanbaar voor onderzoeker	Speech is easily understood by examiner	NA	1	0	0
v50	v50	NA	NA	NA	13	Stelt vragen naar hoeveel, wanneer, waarom (M)	"Asks questions about ""how much"", ""when"", ""why"""	NA	1	0	0
na7	v28	NA	NA	NA	14	Tekent kruis na	Copies a cross	NA	1	0	0
na8	v51	NA	NA	NA	14	Begrijpt analogien en tegenstellingen (M)	Understands analogies and oppositions	NA	1	0	0
na9	v75	NA	NA	NA	14	Kan minstens 5 seconden op een been staan (RL)	Can stand on one foot at least 5 seconds	NA	1	1	0
