# ADDED DEC 1, 2022, SVB
# NOTE: THIS DATASET IS INVALIDAT BY WRONG ITEM MAPPING
# DO NOT USE

Start Item?	Phase 2 order	Phase 1 order	tau	label	Domain	gsed2 variable name	old gsed variable name
	SF067	SF74	48,09	Can your child drink from an open  cup without help?	life	gpaxxc074	vinxxc007
	SF068	SF65	48,21	Can your child climb onto an object (rock, porch, step, chair, bed, low table, etc.)?	motor	gpamoc065	iyomoc022
	SF069	SF63	48,91	Can your child make any light marks on paper or in dirt with a crayon or a stick?	motor	gpamoc063	iyomoc021
	SF070	SF70	49,1	Can your child bend down or squat to pick up an object from the floor and then stand up again, without help from a person or object?	motor	gpamoc070	iyomoc023
	SF071	SF72	49,45	Can your child follow a simple spoken command or direction without you making a gesture?	lang	gpalgc072	iyolgc013
	SF072	SF73	49,45	Can your child fetch something when asked?	lang	gpaxxc073	vinxxc006
	SF073	SF86	49,62	Does your child share with others (e.g., food)?	sem	gpasec086	mdtsed018
	SF074	SF66	49,71	Can your child take several steps (3-5) forward without holding onto any person or object, even if they fall down immediately afterward?	motor	gpamoc066	iyomoc024
	SF075	SF76	49,76	While standing, can your child purposefully throw the ball and not just drop it?	motor	gpamoc076	iyomoc028
	SF076	SF69	50,25	Can your child stand up from sitting by himself and take several steps forward?	motor	gpagmc069	aqigmc026
	SF077	SF94	49,68	Can your child break off pieces of food and feed them to him/her-self?	life	gpasec094	mdtsed021
	SF078	SF71	50,26	Can your child make a scribble on paper, or in dirt, in a back and forth manner? For example, can he or she move the pen or pencil or stick back and forth?	motor	gpamoc071	iyomoc025
	SF079	SF67	50,64	Can your child move around by walking, rather than by crawling on his hands and knees?	motor	gpagmc067	aqigmc027
	SF080	SF77	51,33	Can your child walk well, with coordination, without falling down often? With one foot in front of the other (rather than shifting weight side to side, stiff- legged)?	motor	gpamoc077	iyomoc027
18-20 months	SF081	SF78	51,44	Can your child stack at least two objects on top of each other, such as bottle tops, blocks, stones, etc.?	motor	gpamoc078	iyomoc030
	SF082	SF85	52,51	Can your child greet people either by giving his/her hand or saying Hello?	sem	gpasec085	mdtsed017
	SF083	SF79	52,82	Can your child kick a ball or other round object forward using his/her foot?	motor	gpamoc079	cromoc025
	SF084	SF88	53,7	Can your child say five or more separate words (e.g., names like 'Mama' or objects like 'ball')?	lang	gpaclc088	croclc023
21-23 months	SF085	SF81	54,64	Can your child follow directions with more than one step? For example, 'Go to the kitchen and bring me a spoon'?	cog	gpalgc081	iyolgc017
	SF086	SF96	55,69	Can your child correctly name at least one family member other than mom and dad (e.g., name of brother, sister, aunt, uncle)?	lang	gpaclc096	croclc028
	SF087	SF99	55,74	Can your child identify at least seven objects? For example, when you ask 'where is the ball/spoon/cup/cloth/door/plate/bucket etc.' does your child look at or point to (or even name) the objects?	lang	gpalgc099	iyolgc022
	SF088	SF93	55,77	Can your child ask for something (e.g., food, water) by name when he/she wants it?	lang	gpaclc093	croclc025
	SF089	SF84	56,35	Can your child run well, without falling or bumping into objects?	motor	gpamoc084	iyomoc032
	SF090	SF92	56,36	Can your child wash hands by him/herself?	life	gpaxxc092	vinxxc048
	SF091	SF80	56,75	While standing, can your child kick a ball by swinging his/her leg forward?	motor	gpamoc080	iyomoc031
	SF092	SF87	56,81	Does your child dry hands by herself/himself after you have washed them?	life	gpaxxc087	vinxxc021
	SF093	SF95	56,85	Does your child show independence (e.g., wants to go and visit a friends house)?	sem	gpasec095	mdtsed023
	SF094	SF101	57,12	If you show your child an object he/she knows well (e.g., a cup or animal), can he/she consistently name it?	lang	gpaclc101	croclc034
24-26 months	SF095	SF83	57,61	Can your child stack three or more small objects (e.g., blocks, cups, bottle caps) on top of each other?	motor	gpamoc083	cromoc029
	SF096	SF97	58,91	Can your child walk on an uneven surface (e.g., a bumpy or steep road) without falling?	motor	gpamoc097	cromoc031
	SF097	SF102	59,48	Does your child usually communicate with words what he/she wants in a way that is understandable to others?	lang	gpalgc102	iyolgc023
	SF098	SF90	59,82	Can your child say ten or more words in addition to 'Mama' and 'Dada'?	lang	gpacmc090	aqicmc033
	SF099	SF98	60,13	When looking at pictures, if you say to your child 'what is this?', can they say the name of the object that you point to?	lang	gpalgc098	iyolgc021
27-29 months	SF100	SF91	60,45	Can your child speak using short sentences of two words that go together (e.g., 'Mama go' or 'Dada eat'?	lang	gpaclc091	croclc024
	SF101	SF110	60,6	Can your child unscrew the lid from a bottle or jar?	motor	gpamoc110	cromoc033
	SF102	SF130	61,82	Does your child help out around the house with simple chores, even if he/she doesn't do them well?	sem	gpasec130	mdtsed029
	SF103	SF89	62,7	Is your child able to go poo or pee without having accidents (wetting or soiling themselves)?	life	gpasec089	mdtsed019
30-32 months	SF104	SF112	62,71	Can your child speak using sentences of three or more words that go together (e.g., 'I want water' or 'The house is big')?	lang	gpaclc112	croclc029
	SF105	SF100	62,74	Can your child name at least two body parts (e.g., arm, eye, or nose)?	lang	gpaclc100	croclc038
	SF106	SF104	63,04	Can your child remove an item of clothing (e.g., take off his/her shirt)?	life	gpamoc104	cromoc035
	SF107	SF105	63,1	Can your child say 15 or more separate words (e.g., names like 'Mama' or objects like 'ball')?	lang	gpaclc105	croclc027
	SF108	SF106	63,65	Can your child jump with both feet leaving the ground?	motor	gpamoc106	cromoc034
	SF109	SF108	63,86	Can your child tell you or someone familiar his/her own name [nickname] when asked to?	lang	gpaclc108	croclc032
33-36 months	SF110	SF115	64,32	Can your child correctly ask questions using any of the words 'what,' 'which,' 'where,' or 'who'?	lang	gpaclc115	croclc042
	SF111	SF137	65,03	Does your child show respect around elders?	sem	gpasec137	mdtsed032
	SF112	SF113	65,21	Can your child correctly use any of the words 'I,' 'you,' 'she,' or 'he' (e.g., 'I go to store,' or 'He eats rice')?	lang	gpaclc113	croclc031
	SF113	SF107	65,29	Can your child sing a short song or repeat parts of a rhyme from memory by him/herself?	lang	gpaclc107	croclc037
	SF114	SF111	65,45	Does your child know the difference between the words 'big' and 'small'? For example, if you ask, 'Give me the big spoon' can your child understand which one to give if there are two different sizes?	cog	gpalgc111	iyolgc026
	SF115	SF116	65,57	Does your child pronounce most of his/her words correctly?	lang	gpaclc116	croclc046
	SF116	SF134	65,64	Can your child go to the toilet by him/her-self?	life	gpasec134	mdtsed033
	SF117	SF120	67,14	If you point to an object, can your child correctly use the words 'on,' 'in,' or 'under' to describe where it is (e.g., 'The cup is on the table' instead of 'The cup is in the table.')	lang	gpaclc120	croclc049
	SF118	SF109	67,15	Can your child  put on at least one piece of clothing by himself?	life	gpasec109	mdtsed026
	SF119	SF119	67,2	Can your child explain in words what common objects like a cup or chair are used for?	lang	gpaclc119	croclc039
	SF120	SF103	67,8	Can your child draw a straight line?	motor	gpamoc103	iyomoc037
	SF121	SF114	68,91	Can your child say what he/she likes or dislikes (e.g., 'I like sweets')?	lang	gpasec114	crosec042
	SF122	SF117	68,98	If you show your child two objects or people of different size, can he/she tell you which one is the big one and which is the small one?	cog	gpaclc117	croclc035
	SF123	SF121	69,14	Does your child regularly use describing words such as 'fast,' 'short,' 'hot,' 'fat,' or 'beautiful' correctly?	lang	gpaclc121	croclc050
	SF124	SF123	69,95	Does your child know to keep quiet when the situation requires it? (e.g., at ceremonies, when someone is asleep)	sem	gpasec123	mdtsed028
	SF125	SF124	71,33	Does your child ask 'why' questions (e.g., 'Why are you tall?')?	lang	gpaclc124	croclc051
	SF126	SF135	71,61	Can your child stand on one foot WITHOUT any support for at least a few seconds?	motor	gpamoc135	iyomoc039
	SF127	SF126	71,62	If you ask your child to give you three objects (e.g., stones, beans), does the child give you the correct amount?	cog	gpaclc126	croclc043
	SF128	SF131	71,86	Does your child understand the term 'longest'? For example, if you ask him/her to choose 'which is the longest of 3 objects?' (e.g. 3 spoons or sticks), would he/she be able to choose the longest?	cog	gpalgc131	iyolgc029
	SF129	SF138	72,01	Can your child talk about things that have happened in the past using correct language (e.g., 'Yesterday I played with my friend' or 'Last week she went to the market')?	lang	gpaclc138	croclc045
	SF130	SF127	73,39	Can your child tell a story?	lang	gpalgc127	iyolgc030
	SF131	SF125	73,46	Can your child tell you when he/she is happy, angry, or sad?	sem	gpasec125	crosec049
	SF132	SF122	73,77	Can the child name at least one color (e.g., red, blue, yellow)?	cog	gpaclc122	croclc044
	SF133	SF118	73,92	Can your child count objects up to five  (e.g., fingers, people)?	cog	gpaclc118	croclc041
	SF134	SF133	74,02	If you draw a circle can your child do it, just as you did?	motor	gpamoc133	iyomoc038
	SF135	SF128	74,1	Can your child tell you when others are happy, angry, or sad?	sem	gpasec128	crosec059
	SF136	SF139	74,26	Can your child talk about things that will happen in the future using correct language (e.g., 'Tomorrow he will attend school' or 'Next week we will go to the market')?	lang	gpaclc139	croclc048
	SF137	SF132	75,21	Can the child fasten and unfasten buttons without help?	motor	gpamoc132	cromoc039
	SF138	SF129	75,92	Can your child dress him/herself completely (except for shoelaces, buttons and zippers)?	life	gpamoc129	iyomoc040
	SF139	SF136	78,54	Can your child say what others like or dislike (e.g., 'Mama doesn't like fruit,' Papa likes football)?	sem	gpasec136	crosec051
