lex_gcdg	instrument	equate	domain	label	tau
b1m111	Bayley1	FM31	Fine Motor	builds tower of 2 cubes	53.1720119368344
b1m112	Bayley1	FM30	Fine Motor	scribbles sponstaneously	51.699929440531
b1m113	Bayley1	EXP18	Expressive	says 2 words	52.7710818939108
b1m115	Bayley1	FM71	Fine Motor	closes round box	51.7270686186411
b1m116	Bayley1	EXP9	Expressive	uses gestures to  make wants known	50.6012140501218
b1m117	Bayley1	REC16	Receptive	shows shoes or other clothing, or own toy	52.9168175670412
b1m118	Bayley1	COG55	Cognitive	pegs placed in 70 seconds	54.0800376130999
b1m119	Bayley1	FM72	Fine Motor	builds tower of 3 cubes	57.0675934979672
b1m124	Bayley1	EXP20	Expressive	names 1 object	57.2379625108548
b1m131	Bayley1	COG105	Cognitive	finds 2 objects	57.3181115152232
b1m134	Bayley1	COG113	Cognitive	pegs placed in 30 seconds	57.7414248228149
b1m136	Bayley1	EXP26	Expressive	sentence of 2 words	59.1543368199936
b1m143	Bayley1	FM38	Fine Motor	builds tower of 6 cubes	60.8744634627712
b1p20	Bayley1	GM81	Gross Motor	Lifts head, dorsal position	38.5092323294615
b1p23	Bayley1	GM22	Gross Motor	Sits momentarily	33.9358114959889
b1p25	Bayley1	NA	NA	Attempts to secure pellet	35.790440432917
b1p27	Bayley1	GM26	Gross Motor	Sits alone 30 seconds	36.5003602509026
b1p28	Bayley1	GM25	Gross Motor	Rolls from back to stomach	36.4286091348799
b1p29	Bayley1	GM82	Gross Motor	Sits steadily	37.7397478235559
b1p30	Bayley1	NA	NA	Scoops pellet	37.7135468751032
b1p31	Bayley1	GM27	Gross Motor	Sits good coordination	38.0308187430561
b1p33	Bayley1	GM30	Gross Motor	Prewalking	42.8283999090757
b1p34	Bayley1	GM29	Gross Motor	Early stepping movements	37.3477653063971
b1p37	Bayley1	GM84	Gross Motor	Raise self to sitting	43.0360785961546
b1p38	Bayley1	NA	Gross Motor	Stands up by furniture	32.2065906888413
b1p40	Bayley1	GM85	Gross Motor	Stepping movements	40.9453190225638
b1p41	Bayley1	NA	NA	Fine prehension	44.5802988428654
b1p43	Bayley1	GM39	Gross Motor	Sits down	48.3515815137977
b1p45	Bayley1	GM40	Gross Motor	Stands alone	48.0736593668717
b1p46	Bayley1	GM42	Gross Motor	Walks alone	49.8600719529814
b1p47	Bayley1	GM41	Gross Motor	Stands up	47.2572372622915
b1p48	Bayley1	GM44	Gross Motor	Throws ball	48.4866872536346
b1p49	Bayley1	GM38	Gross Motor	Walsk sideways	51.8354794861279
b1p50	Bayley1	GM48	Gross Motor	Walks backwards	52.9681899842885
b1p51	Bayley1	GM51	Gross Motor	Stands on right foot with help	51.6345426018537
b1p52	Bayley1	GM52	Gross Motor	Stands on left foot with help	51.6323520480386
b2m94	Bayley2	NA	NA	Imitates word	53.8464901391243
b2m97	Bayley2	FM31	Fine Motor	Tower of 2 cubes	53.1720119368344
b2m98	Bayley2	COG55	Cognitive	Places pegs in 70 sec	54.0800376130999
b2m99	Bayley2	NA	NA	Points to two pictures	55.2982555835916
b2m110	Bayley2	EXP20	Expressive	Names Object Series: 1 Object	61.4255021682763
b2m114	Bayley2	EXP26	Expressive	Uses a two-word utterance	59.1543368199936
b2m122	Bayley2	NA	NA	Points to Five Pictures	66.5956469459205
b2m123	Bayley2	FM38	Fine Motor	Tower of 6 cubes	60.8744634627712
b2m125	Bayley2	COG64	Cognitive	Matches pictures	67.79184144664
b2m126	Bayley2	EXP27	Expressive	Names Object Series: 3 Object	69.5875927134127
b2m127	Bayley2	EXP29	Expressive	Uses 3 word sentence	66.9315220962166
b2p62	Bayley2	GM42	Gross Motor	Walks alone	49.8600719529814
b2p63	Bayley2	GM43	Gross Motor	Walks alone with good coordination	47.5637541368589
b2p66	Bayley2	GM47	Gross Motor	Walks up stairs with help	50.9444992918416
b2p67	Bayley2	GM48	Gross Motor	Walks backwards	51.4024035957634
b2p78	Bayley2	NA	NA	Jumps off floor (both feet)	66.0999644178594
b3c34	Bayley3	COG34	Cognitive	Searches for missing objects	42.4038046274445
b3c36	Bayley3	COG36	Cognitive	Block Series: 1 Block	44.5286386424398
b3c39	Bayley3	COG39	Cognitive	Pushes car	51.415943459684
b3c42	Bayley3	COG42	Cognitive	Removes pellet	49.5055711491399
b3c44	Bayley3	COG44	Cognitive	Squeezes object	53.0081177550961
b3c46	Bayley3	COG46	Cognitive	Removes lid from bottle	56.2005676860344
b3c47	Bayley3	COG47	Cognitive	Pegboard Series: 2 holes	51.0881395138248
b3c49	Bayley3	COG49	Cognitive	Pink Board Series: 1 piece	56.2055256378926
b3c51	Bayley3	COG51	Cognitive	Blue Board Series: 1 piece	55.1075340216055
b3c55	Bayley3	COG55	Cognitive	Pegboard Series: 6 Pegs	54.0800376130999
b3c56	Bayley3	COG56	Cognitive	Pink Board Series: Completes	60.7733381623533
b3c58	Bayley3	COG58	Cognitive	Blue Board Series: 4 Pieces	59.5021481914206
b3c59	Bayley3	COG59	Cognitive	Attends to story	60.0401843992527
b3c60	Bayley3	COG60	Cognitive	Rotated pink board	63.5908284488597
b3c61	Bayley3	COG61	Cognitive	Object assembly (Ball)	61.9789328441408
b3c62	Bayley3	COG62	Cognitive	Completes Pegboard: 25 Seconds	60.4459395877492
b3c63	Bayley3	COG63	Cognitive	Object assembly (Ice Cream Cone)	63.6640596977766
b3c64	Bayley3	COG64	Cognitive	Matches pictures	64.7010991871487
b3c65	Bayley3	COG65	Cognitive	Representational play	65.253654632932
b3c66	Bayley3	COG66	Cognitive	Blue Board Series: Completes (75 seconds)	65.3449487845021
b3c67	Bayley3	COG67	Cognitive	Imitates a two-step action.	65.8109929934393
b3c68	Bayley3	COG68	Cognitive	Matches 3 colors	71.6577317719197
b3c73	Bayley3	COG73	Cognitive	Concept Grouping: Size	69.7123181920255
b3c74	Bayley3	COG74	Cognitive	Compares masses	69.7219991276049
b3f26	Bayley3	FM26	Fine Motor	Food Pellet Series: Thumb-fingertip grasp	42.9310276394221
b3f27	Bayley3	FM27	Fine Motor	Turns pages of books	48.7408609980304
b3f28	Bayley3	FM28	Fine Motor	Grasp series: Palmar grasp	47.0168698985542
b3f29	Bayley3	FM29	Fine Motor	Isolates extended ring finger	49.2708052896278
b3f30	Bayley3	FM30	Fine Motor	Scribbles spontaneously	48.92072469311
b3f31	Bayley3	FM31	Fine Motor	Block Stacking Series: 2 blocks	53.1720119368344
b3f32	Bayley3	FM32	Fine Motor	Imitates Stroke Series: Random	53.3503578273076
b3f33	Bayley3	FM33	Fine Motor	Places 10 pellets in bottle (60 seconds)	57.0789785268902
b3f35	Bayley3	FM35	Fine Motor	Coins in slot	52.8332012109889
b3f36	Bayley3	FM36	Fine Motor	Connecting Blocks: Apart 	56.1421542117412
b3f38	Bayley3	FM38	Fine Motor	Block stacking Series: 6 blocks	60.8744634627712
b3f40	Bayley3	FM40	Fine Motor	Imitates Strokes Series: Horizontal	65.1579444950263
b3f41	Bayley3	FM41	Fine Motor	Imitates Strokes Series: Vertical	66.0983246877583
b3f42	Bayley3	FM42	Fine Motor	Connecting Blocks: Together	65.6557861158531
b3f43	Bayley3	FM43	Fine Motor	Imitates Strokes Series: Circular	69.6607103240288
b3f44	Bayley3	FM44	Fine Motor	Builds train of blocks	66.0890577915622
b3f45	Bayley3	FM45	Fine Motor	Strings 3 blocks	65.3238759967747
b3f49	Bayley3	FM49	Fine Motor	Tactilely discriminates shapes	70.1123197620683
b3f50	Bayley3	FM50	Fine Motor	Builds wall	69.3087287767421
b3f52	Bayley3	FM52	Fine Motor	Builds bridge	67.8017325080839
b3f61	Bayley3	FM61	Fine Motor	Copies plus sign	72.5588976057685
b3g21	Bayley3	GM21	Gross Motor	Elevates Trunk while Prone Series: Extended arms	32.1120737235114
b3g25	Bayley3	GM25	Gross Motor	Rolls from back to stomach	36.4286091348799
b3g30	Bayley3	GM30	Gross Motor	Crawls Series: On stomach	42.4374781398479
b3g31	Bayley3	GM31	Gross Motor	Crawls Series: Crawl position	42.5011171067236
b3g32	Bayley3	GM32	Gross Motor	Moves from sitting to hands and knees	43.2624065641822
b3g33	Bayley3	GM33	Gross Motor	Supports weight	45.0658082182813
b3g35	Bayley3	GM35	Gross Motor	Raises self to standing position	44.0095358333739
b3g37	Bayley3	GM37	Gross Motor	Walks Series: With support	45.1899874113373
b3g38	Bayley3	GM38	Gross Motor	Walks sideways with support	46.3046405034599
b3g39	Bayley3	GM39	Gross Motor	Sits down with control	46.6015362103243
b3g40	Bayley3	GM40	Gross Motor	Stands alone	48.2363378648883
b3g41	Bayley3	GM41	Gross Motor	Stands up Series: Alone	50.6529642481492
b3g42	Bayley3	GM42	Gross Motor	Walks Series: Alone	49.8600719529814
b3g43	Bayley3	GM43	Gross Motor	Walks Series: Alone with coordination	51.7011406684949
b3g44	Bayley3	GM44	Gross Motor	Throws ball	50.9680826643447
b3g45	Bayley3	GM45	Gross Motor	Squats without support	50.8301282863648
b3g46	Bayley3	GM46	Gross Motor	Stands up Series: Mature	51.3286157541333
b3g48	Bayley3	GM48	Gross Motor	Walks backward 2 steps	57.0356861950857
b3g50	Bayley3	GM50	Gross Motor	Runs with coordination	55.8654624887995
b3g51	Bayley3	GM51	Gross Motor	Balances on Right Foot Series: With support	58.2730680446693
b3g52	Bayley3	GM52	Gross Motor	Balances on Left Foot Series: With support	58.8823640236408
b3g53	Bayley3	GM53	Gross Motor	Walks sideways without support	60.8477119503898
b3g59	Bayley3	GM59	Gross Motor	Jumps Forward Series: 4 inches	66.5790723638385
b3g60	Bayley3	NA	Gross Motor	Balances on right Foot Series: 2 seconds, alone	67.0310768855494
b3g62	Bayley3	GM62	Gross Motor	Walks on tiptoes 4 steps	68.2656484094311
b3g63	Bayley3	GM63	Gross Motor	Walks backward close to path	66.7454296320532
b3r15	Bayley3	REC15	Receptive	Identifies Object Series: 1 correct	49.70085498825
b3r16	Bayley3	REC16	Receptive	Identifies object in the environment	55.0771810774964
b3r17	Bayley3	REC17	Receptive	Identifies Picture Series: 1 correct	52.6247901861567
b3r19	Bayley3	REC19	Receptive	Identifies Object Series: 3 correct	55.2517575974857
b3r20	Bayley3	REC20	Receptive	Follows one-part directions	56.393952564219
b3r21	Bayley3	REC21	Receptive	Identifies Picture Series: 3 Correct	56.1600761452197
b3r22	Bayley3	REC22	Receptive	Identifies 3 clothing items	59.0632280246691
b3r23	Bayley3	REC23	Receptive	Identifies Action Picture Series: 1 correct	59.4056221494496
b3r24	Bayley3	REC24	Receptive	Identifies 5 parts of the body	59.5842960702776
b3r25	Bayley3	REC25	Receptive	Follows two-part directions	61.6871154060659
b3r26	Bayley3	REC26	Receptive	Identifies Action Picture Series: 3 correct	63.1786872321077
b3r27	Bayley3	REC27	Receptive	Understands use of objects	66.4842928773465
b3r28	Bayley3	REC28	Receptive	Understands part/whole relationships	66.4991051052847
b3r29	Bayley3	REC29	Receptive	Identifies Action Picture Series: 5 correct	66.3223700577196
b3r31	Bayley3	REC31	Receptive	Understands labels for sizes	67.8018568636128
b3r40	Bayley3	REC40	Receptive	Understands more	71.0433804977938
b3e14	Bayley3	EXP14	Expressive	Uses one-word approximations	50.3435436899096
b3e15	Bayley3	EXP15	Expressive	Directs attention of other	47.7463037482782
b3e20	Bayley3	EXP20	Expressive	Names Object Series: 1 Object	58.2093291909289
b3e21	Bayley3	EXP21	Expressive	Combines word and gesture	57.5869387149395
b3e22	Bayley3	EXP22	Expressive	Names Picture Series: 1 Picture	58.1931439597408
b3e23	Bayley3	EXP23	Expressive	Uses Words Appropriately Series: 8 words	61.8774145594258
b3e24	Bayley3	EXP24	Expressive	Answers yes or no verbally in response to questions	60.1466198335361
b3e25	Bayley3	EXP25	Expressive	Imitates a two-word utterance	63.4216171074672
b3e26	Bayley3	NA	Expressive	Uses a two-word utterance	64.0091787082836
b3e27	Bayley3	EXP27	Expressive	Names Object Series: 3 Object	63.0554963122024
b3e29	Bayley3	EXP29	Expressive	Uses multiple-word utterances	66.3637575145179
b3e31	Bayley3	EXP31	Expressive	Names Action Picture Series: 1 Picture	66.5133012913704
b3e34	Bayley3	EXP34	Expressive	Uses verb +ing	69.4954589714913
b3e35	Bayley3	EXP35	Expressive	Names Action Picture Series: 3 Pictures	69.5041024144012
b3e37	Bayley3	EXP37	Expressive	Names Action Picture Series: 5 Pictures	71.8496404263404
b3e39	Bayley3	EXP39	Expressive	Answers what or where questions	70.7865914150077
b3e42	Bayley3	EXP42	Expressive	Answers questions logically (Related to functions)	72.5075119516882
b3e43	Bayley3	EXP43	Expressive	Tells how an object is used	73.624202273861
bm1	Barrera	EXP2	Expressive	Smiles in response to an adult or his/her voice	11.438132038147
bm2	Barrera	EXP5	Expressive	Makes sounds spontaneously or in response to a stimulus	10.0019963738018
bm5	Barrera	GM25	Gross Motor	Rolls from back to stomach	36.4286091348799
bm6	Barrera	GM26	Gross Motor	Sits without support for some time	40.1559311378158
bm7	Barrera	GM31	Gross Motor	Starting to crawl	44.9507679906197
bm8	Barrera	FM26	Fine Motor	Grasps with fingertip to to take small objects	42.9310276394221
bm9	Barrera	GM35	Gross Motor	Stands up when being pulled	44.0095358333739
bm10	Barrera	GM37	Gross Motor	Walks with support, holding on to a railing, furniture or adult	48.8357847657565
bm11	Barrera	GM40	Gross Motor	Stands for "some moments"	49.8847465387287
bm12	Barrera	GM42	Gross Motor	Walks alone with "some steps"	49.8600719529814
bm14	Barrera	EXP23	Expressive	Says more than 5 words	60.9245131819631
bm15	Barrera	GM54	Gross Motor	Jumps in place	63.5766935576809
bm17	Barrera	NA	NA	Says his full name	71.2922684612971
bm18	Barrera	FM43	Fine Motor	Copies a circle	69.6607103240288
bm19	Barrera	GM60	Gross Motor	Balances on one foot for more than 5 seconds	70.0876573737176
df2	Denver	FM76	Fine Motor	Follow Past Midline	35.2558574087139
df3	Denver	FM77	Fine Motor	Hold Rattle	31.3269035080631
df4	Denver	FM78	Fine Motor	Hands Together	33.0024382239631
df5	Denver	FM79	Fine Motor	Follow 180 Degrees	34.4950665497421
df6	Denver	FM80	Fine Motor	Regard raisin	32.7477086369629
df7	Denver	COG174	Cognitive	Reaches	32.3686717763289
df8	Denver	COG25	Cognitive	Look for Yarn	31.1769188611877
df9	Denver	FM20	Fine Motor	Rake Raisin	35.7141802855013
df10	Denver	FM21	Fine Motor	Pass Block	37.1066822213357
df11	Denver	COG27	Cognitive	Take 2 Blocks	35.5095534748759
df12	Denver	FM24	Fine Motor	Thumb-Finger Grip	41.6707762109122
df13	Denver	COG24	Cognitive	Bang 2 Blocks 	44.9753433290453
df14	Denver	COG36	Cognitive	Put Block in Cup	44.5286386424398
df15	Denver	FM30	Fine Motor	Scribbles	49.7407118588294
df16	Denver	COG42	Cognitive	Drop Raisin	55.3943566592571
df17	Denver	FM31	Fine Motor	2 Blocks	53.1720119368344
df18	Denver	FM81	Fine Motor	4 Blocks	57.3250739639102
df19	Denver	FM38	Fine Motor	6 Blocks	60.8744634627712
df20	Denver	FM41	Fine Motor	Imitate Vertical Line	63.5432083896143
df21	Denver	FM54	Fine Motor	8 Blocks	64.2981570393492
df22	Denver	FM82	Fine Motor	Wiggle Thumb	69.1570974366878
df23	Denver	FM43	Fine Motor	Copy a Circle	69.6607103240288
df24	Denver	FM83	Fine Motor	Draws 3 or more body parts	73.3184125053985
df25	Denver	FM61	Fine Motor	Copy +  (2 lines that intersect near the midpoint using only 2 strokes)	72.5588976057685
dg8	Denver	GM25	Gross Motor	Roll Over/from back to side	36.4286091348799
dg9	Denver	GM23	Gross Motor	Pull to Sit, No Head Lag	31.7369194133519
dg10	Denver	GM26	Gross Motor	Sit No Support	38.5109133217176
dg11	Denver	GM77	Gross Motor	Stand, Holding On	34.1292906792232
dg12	Denver	GM35	Gross Motor	Pull to Stand	44.0095358333739
dg13	Denver	GM78	Gross Motor	Get To Sitting 	43.7454878350597
dg14	Denver	GM33	Gross Motor	Stand 2 Seconds	49.1244568287682
dg15	Denver	GM40	Gross Motor	Stand 10 seconds	47.0686002260893
dg16	Denver	GM79	Gross Motor	Stoop and Recover	51.3809295079189
dg17	Denver	GM43	Gross Motor	Walk Well	53.7394187734287
dg18	Denver	GM48	Gross Motor	Walk Backwards 	53.5144434780606
dg19	Denver	GM50	Gross Motor	Runs	56.5441836421412
dg21	Denver	GM55	Gross Motor	Kick Ball Forward	56.7559759842684
dg22	Denver	GM59	Gross Motor	Jump Up	62.0170779667395
dg23	Denver	GM44	Gross Motor	Throw Ball Overhand	60.7728640224386
dg24	Denver	GM72	Gross Motor	Long Jump	67.6496471375896
dg25	Denver	NA	Gross Motor	Balance each foot 1 second	65.9737603193833
dg26	Denver	GM61	Gross Motor	Balance each foot 2 seconds	69.3651957035307
dl6	Denver	REC6	Receptive	Turn to Rattle Sound	30.9034135848916
dl7	Denver	REC9	Receptive	Turn to Voice	32.0388961890647
dl8	Denver	EXP8	Expressive	Single Syllables 	39.2863148738206
dl9	Denver	EXP55	Expressive	Imitate Speech Sounds 	34.5342582096868
dl12	Denver	EXP56	Expressive	Babbles 	39.9669525072773
dl14	Denver	EXP14	Expressive	Say 1 Word 	46.8959125989782
dl15	Denver	EXP18	Expressive	Say 2 Words 	49.2666504827506
dl16	Denver	NA	NA	Say 3 Words 	51.4520847844242
dl17	Denver	EXP23	Expressive	Say 6 Words 	56.6198793893149
dl18	Denver	REC17	Receptive	Point to Pictures (2) 	59.7957560503175
dl19	Denver	EXP26	Expressive	Combine Words 	59.1543368199936
dl20	Denver	EXP22	Expressive	Name Pictures (1)	62.3164841269733
dl21	Denver	REC24	Receptive	Body Parts	60.6096322130259
dl22	Denver	REC21	Receptive	Point to Pictures (4) 	63.7801114306025
dl23	Denver	EXP57	Expressive	Speech Half Understandable	64.8526267589428
dl24	Denver	NA	NA	Name 4 pictures	67.8848777872799
dl25	Denver	REC23	Receptive	Know Actions (2)	68.2395535326554
dl28	Denver	REC27	Receptive	Use of two objects	71.3991497450166
dl30	Denver	REC27	Receptive	Use of four objects	72.1276400325165
dl33	Denver	REC42	Receptive	Understand 4 Prepositions	73.7195293850005
dl36	Denver	NA	NA	Knows adjectives (3)	74.2398382960718
dp7	Denver	EXP11	Expressive	Clapping game "pat a cake"	44.2206602380552
dp9	Denver	NA	NA	wave bye-bye	45.6761116438614
dp10	Denver	COG53	Cognitive	Play Ball with You 	46.4582586006802
dp11	Denver	COG65	Cognitive	Imitate Activities 	43.6492006729065
gc2_1	Griffiths	NA	NA	Remove both cubes from box (shown)	49.55726475494
gc2_2	Griffiths	NA	NA	Unwraps and finds toy	51.7689729621836
gc2_6	Griffiths	NA	NA	Puts 2 cubes back into one box when encouraged to do so	50.250534246311
gc2_7	Griffiths	NA	NA	Two circle board - one in	52.1566381716067
gc2_9	Griffiths	NA	NA	Two circle board - two in	55.7856787981975
gc2_13	Griffiths	NA	NA	Circle and square board together	61.4681316943202
gc2_15	Griffiths	COG56	Cognitive	(Performance) Three-hole board - three in. 	63.8921874970433
gc2_21	Griffiths	NA	NA	Can open screw toy 	62.3647940351612
gc2_22	Griffiths	COG46	Cognitive	(Performance) Can open screw toy (credit as two items)	62.2574262874381
gc3_4	Griffiths	NA	NA	Six-hole board completed within one minute - 2 trials	74.2325706400029
gc3_6	Griffiths	NA	NA	Six-hole board: (40 secs).	76.0916963252856
gc4_2	Griffiths	NA	Fine Motor	(Performance) Builds bridge with 3 boxes - inferior model but still stands.	72.7436290561481
gc6	Griffiths	NA	NA	Plays with own fingers	36.2891030942417
gc7	Griffiths	NA	NA	Resists withdrawal of rod	35.9908481597532
gc9	Griffiths	NA	NA	Reaches to Paper III - Pulls it away	35.2977307428996
gc12	Griffiths	FM15	Fine Motor	(Performance) Takes cube or toy from table	35.3034016981861
gc13	Griffiths	FM21	Fine Motor	(Performance) Passes toy from hand to hand	36.7718751644452
gc15	Griffiths	NA	NA	Manipulates 2 objects at once	37.0404892230855
gc17	Griffiths	NA	NA	Lifts inverted cup in search of toy	45.0040144786899
gc20	Griffiths	FM23	Fine Motor	(Performance) Clicks 2 bricks together	47.8118901080458
gc22	Griffiths	NA	NA	Finds toy under cup	45.2629492668736
gc23	Griffiths	COG37	Cognitive	(Performance) Accepts 3rd cube without dropping	51.3327973960883
ge2_1	Griffiths	NA	NA	Uses pencil on paper a little 	47.455459948644
ge2_7	Griffiths	FM31	Fine Motor	(Eye and Hand Co-ordination)  Tower of 2 bricks - imitation..	53.1720119368344
ge2_9	Griffiths	FM30	Fine Motor	(Eye and Hand Co-ordination) Scribbles more freely, and deliberately.	51.782550185143
ge2_12	Griffiths	NA	NA	Builds tower of 3 bricks	56.5301146440328
ge2_14	Griffiths	GM44	Gross Motor	(Eye and hand) Can throw a ball	51.7860897065114
ge2_15	Griffiths	NA	NA	Tower of 4+ bricks	57.6028686730283
ge2_17	Griffiths	NA	NA	Can pour water from one cup to another 	60.3118687705128
ge2_18	Griffiths	NA	NA	Tower of 5+ bricks 	59.4442940309012
ge2_19	Griffiths	NA	Fine Motor	(Eye and Hand Co-ordination) Circular scribble in imitation	61.7488506241416
ge2_20	Griffiths	NA	NA	Makes train of 3+ bricks 	65.3454632767771
ge2_21	Griffiths	NA	NA	(Credit as 2 items)	65.3749885849982
ge2_23	Griffiths	FM38	Fine Motor	(Eye and Hand Co-ordination) Tower of 6 or 7 bricks.	60.8744634627712
ge3_1	Griffiths	FM40	Fine Motor	(Eye and Hand Co-ordination) Draws a horizontal stroke in imitation	68.2028392463196
ge3_2	Griffiths	NA	NA	Threads 6 beads	69.8544570651138
