lex_dutch1996	lex_dutch2005	lex_dutch1983	lex_smocc	lex_ghap	lex_gcdg	lex_gsed	occ	labelNL	labelEN	tau	m	LR	hot
16	NA	NA	NA	v1441	GSHOPENL	NA	NA	3	Handen af en toe open - l	Hands open now and then - l	NA	1	1	1
17	v4	v4	v9	v1442	GSLKHN	n9	ddifmm004	3	Kijkt naar eigen handen	Watches own hands	20.7	1	0	1
18	v30	v31	v10	v1443	GSVOCAL	n10	ddicmm031	3	Maakt geluiden terug (M)	Vocalizes in response	14.5	1	0	1
19	v53	v54	v11	v1444	GSRP	n11	ddigmd054	3	Blijft hangen bij optillen onder de oksels	Stays suspended when lifted under armpits	15.8	1	0	0
20	v56	v57	v12	v1445	GSHH45	n12	ddigmd057	3	Heft in buikligging hoofd tot 45	Lifts head to 45 degrees in prone position	20	1	0	1
21	v31	v32	NA	NA	NA	v31	ddicmm032	4	Maakt gevarieerde geluiden (M)	Produces varying sounds	NA	1	0	0
22	v32	NA	NA	NA	NA	v32	ddicmd132	4	Reageert op roepen bij naam (M)	Reacts when called by name	NA	1	0	0
23	v5	v5	v13	v1446	GSHPLAYM	n13	ddifmd005	4	Speelt met handen middenvoor	Plays with hands in midline	28.2	1	0	1
24	v6	v6	v14	v1447	GSGRP	n14	ddigmd006	4	Pakt in rugligging voorwerp	Supine position: grasps object within reach	29.9	1	1	1
25	NA	NA	NA	NA	GSGRPR	NA	NA	4	Pakt in rugligging voorwerp - r	Graps an object/toy within reach when laying on back - r	NA	1	1	1
26	NA	NA	NA	v1448	GSGRPL	NA	NA	4	Pakt in rugligging voorwerp - l	Graps an object/toy within reach when laying on back - l	NA	1	1	1
27	v54	v55	v15	v1449	GSNOHLAG	n15	ddigmd055	4	Reacties bij optrekken tot zit (alleen occasion 4!)	Reactions if pulled to sitting	26	1	0	1
28	na1	NA	v16	v1450	GSTHEAD	n16	ddicmd116	4	Draait hoofd naar geluid	Turns head to sound	31.1	1	1	1
29	NA	NA	NA	NA	GSTHEADR	NA	NA	4	Draait hoofd naar geluid - r	Turns head to sound - r	NA	1	1	1
30	NA	NA	NA	v1451	GSTHEADL	NA	NA	4	Draait hoofd naar geluid - l	Turns head to sound - l	NA	1	1	1
31	v58	v59	v17	v1452	GSLBEND	n17	ddigmd059	4	Benen gebogen of trappelen bij verticaal zwaaien	Flexes or stomps legs while being swung	25.7	1	1	1
32	NA	NA	NA	NA	GSLBENDR	NA	NA	4	Benen gebogen of trappelen bij verticaal zwaaien -r	Flexes or stomps legs while being swung -r	NA	1	1	1
33	NA	NA	NA	v1453	GSLBENDL	NA	NA	4	Benen gebogen of trappelen bij verticaal zwaaien -l	Flexes or stomps legs while being swung - l	NA	1	1	1
34	v57	v58	v18	v1454	GSHH90	n18	ddigmd058	4	Kijkt rond met 90 graden geheven hoofd	Looks around to side with angle face-table 90 degrees	27.8	1	0	1
35	v7	v7	v19	v1455	GSTTOY	n19	ddifmd007	5	Pakt blokje over	Passes cube from hand to hand	36	1	0	1
36	v8	v8	v20	v1456	GSPTOY	n20	ddifmd008	5	Houdt blokje vast, pakt er nog een in andere hand	Holds cube, grasps another one with other hand	36.5	1	0	1
37	v9	v9	v21	v1457	GSPLFT	n21	ddifmm009	5	Speelt met beide voeten	Plays with both feet	33.2	1	1	1
38	NA	NA	NA	NA	GSPLFTR	NA	NA	5	Speelt met beide voeten -r	Plays with both feet - r (M; can ask parents)	NA	1	1	1
39	NA	NA	NA	v1458	GSPLFTL	NA	NA	5	Speelt met beide voeten -l	Plays with both feet - l (M; can ask parents)	NA	1	1	1
40	v59	v60	v22	v1459	GSROLLS	n22	ddigmm060	5	Rolt zich om van rug naar buik en omgekeerd (M)	Rolls over, back and forth	34.7	1	0	1
41	v60	v61	v23	v1460	GSHHSIT	n23	ddigmd061	5	Kan hoofd goed ophouden in zit	Balances head well while sitting	32.5	1	0	1
42	v61	v62	v24	v1461	GSSITST	n24	ddigmd062	5	Zit op billen met gestrekte benen	Sits on buttocks while legs stretched	34.9	1	0	1
43	v33	v33	v25	v1462	GSSAYS	n25	ddicmm033	5	Zegt dada-baba of gaga (M)	Says 'dada', 'baba', or 'gaga'	36	1	0	1
44	v35	v35	NA	NA	NA	v35	ddicmm035	6	Reageert op mondeling verzoek (M)               	Reacts to verbal request	NA	1	0	0
45	v62	v63	v26	v1463	GSSITWS	n26	ddigmd063	6	Zit stabiel los	Sits in stable position, without support	40	1	0	1
46	v10	v10	v27	v1464	GSPICK	n27	ddifmd010	6	Pakt propje met duim en wijsvinger	Picks up pellet between thumb and index finger	43.1	1	1	1
47	NA	NA	NA	NA	GSPICKR	NA	NA	6	Pakt propje met duim en wijsvinger -r	Picks up crumb between thumb and index finger -r	NA	1	1	1
48	NA	NA	NA	v1465	GSPICKL	NA	NA	6	Pakt propje met duim en wijsvinger -l	Picks up crumb between thumb and index finger -l	NA	1	1	1
49	v63	v64	v28	v1466	GSCRAWL	n28	ddigmm064	6	Kruipt vooruit, buik op de grond (M)	Crawls forward, abdomen on the floor	43.1	1	0	1
50	v64	v65	v29	v1467	GSPULLST	n29	ddigmm065	6	Trekt zich op tot staan	Pulls up to standing position	44.3	1	0	1
51	v36	v36	v30	v1468	GSWAVES	n30	ddicmm036	6	Zwaait dag, dag (M)	Waves 'bye bye' 	43.1	1	0	1
52	v34	v34	v31	v1469	GSJABBER	n31	ddicmm034	6	Brabbelt bij zijn spel (M)	Babbles while playing	40.9	1	0	1
53	v38	v38	NA	NA	NA	v38	ddicmm038	7	Begrijpt enkele dagelijks gebruikte zinnen	Understands a few daily-used sentences	NA	1	0	0
54	v11	v11	v32	v1470	GSGETC	n32	ddifmd011	7	Doet blokje in/uit doos	Puts cube in and out of a box	46	1	1	1
55	NA	NA	NA	NA	GSGETCR	NA	NA	7	Doet blokje in/uit doos -r	Puts cube in and out of a box -r	NA	1	1	1
56	NA	NA	NA	v1471	GSGETCL	NA	NA	7	Doet blokje in/uit doos -l	Puts cube in and out of a box -l	NA	1	1	1
57	v12	v12	v33	v1472	GSPLAYGT	n33	ddifmm012	7	Speelt geven en nemen(M)	Plays 'give and take'	46.5	1	0	1
58	v65	v66	v34	v1473	GSCRBLY	n34	ddigmm066	7	Kruipt, buik vrij van de grond (M)	Crawls, abdomen off the floor	46.1	1	0	1
59	v66	v67	v35	v1474	GSWALKS	n35	ddigmm067	7	Loopt langs (M)	Walks along	46.1	1	0	1
60	na2	NA	v36	v1475	GSSIMPLE	n36	ddicmd136	7	Begrijpt enkele woorden	Understands a few words	45.7	1	0	1
61	v37	v37	v37	v1476	GSTWOWRD	n37	ddicmm037	7	Zegt 2 geluidswoorden met begrip (M)	Says 2 'sound-words' with comprehension	50.1	1	0	1
62	v40	v40	NA	NA	NA	v40	ddicmm040	8	Begrijpt spelopdrachtjes (M)	Understand play orders	NA	1	0	0
63	v13	v13	v38	v1512	GSMK2CB	n38	ddifmd013	8	Stapelt twee blokjes	Builds tower of two cubes	56.4	1	1	1
64	NA	NA	NA	NA	GSMK2CBR	NA	NA	8	Stapelt twee blokjes -r	Builds tower of two cubes-r	NA	1	1	1
65	NA	NA	NA	v1513	GSMK2CBL	NA	NA	8	Stapelt twee blokjes -l	Builds tower of two cubes-l	NA	1	1	1
66	v14	v14	v39	v1514	GSEXPLR	n39	ddifmm014	8	Gaat op onderzoek uit (M)	Explores environment	46.9	1	0	1
67	v39	v39	v40	v1515	GSTHRWRD	n40	ddicmm039	8	Zegt 3 woorden (M)	Says 3 'words'	53.2	1	0	1
68	na4	NA	v41	v1516	GSIDOBJ	n41	ddicmd141	8	Wijzen/pakken twee voorwerpen	Identfies (point or graps) two mentioned objects	55.4	1	0	1
69	v67	v68	v42	v1517	GSWLKOWN	n42	ddigmd068	8	Loopt los	Walks alone	51.9	1	0	1
70	v68	v69	v43	v1518	GSTBALL	n43	ddigmd069	8	Gooit bal zonder om te vallen	Throws ball without falling down	56	1	0	1
71	NA	NA	NA	NA	GSTBALLR	NA	NA	8	Gooit bal zonder om te vallen -r	Throws ball without falling down-r	NA	1	0	1
72	NA	NA	NA	v1519	GSTBALLL	NA	NA	8	Gooit bal zonder om te vallen -l	Throws ball without falling down-l	NA	1	0	1
73	v42	v42	NA	NA	NA	v42	ddicmm042	9	Wijst 6 lichaamsdelen aan bij pop (M)	Points at 6 parts of body of a doll	58.2	1	0	0
74	v15	v15	v44	v1520	GSMK3CB	n44	ddifmd015	9	Stapelt 3 blokjes	Builds tower of three cubes	59.2	1	1	1
75	NA	NA	NA	NA	GSMK3CBR	NA	NA	9	Stapelt 3 blokjes -r	Builds tower of three cubes -r	NA	1	1	1
76	NA	NA	NA	v1521	GSMK3CBL	NA	NA	9	Stapelt 3 blokjes -l	Builds tower of three cubes-l	NA	1	1	1
77	v16	v16	v45	v1522	GSIMITAT	n45	ddifmm016	9	Doet anderen na (M)	Imitates others 	52.3	1	0	1
78	na10	NA	v46	v1523	GSDRNKCP	n46	ddigmd146	9	Drinkt zelf uit beker	Drink from cup by him/herself (M; can ask parents)	58.5	1	0	1
79	v41	v41	v47	v1524	GSTWOSEN	n47	ddicmm041	9	Zegt zinnen van 2 woorden (M)	Says 'sentences'of 2 words	60.2	1	0	1
80	na5	NA	v48	v1525	GSPUTBAL	n48	ddicmd148	9	Doet op verzoek bal in doos	Places ball in box	57.8	1	0	1
81	v69	v70	v49	v1526	GSPKSQ	n49	ddigmd070	9	Raapt vanuit hurkzit iets op	Squats or bends to pick up things	55.3	1	0	1
82	v70	v68b	v50	v1527	GSWLKWH	n50	ddigmd168	9	Loopt goed los	Walks well without help	55.5	1	0	1
83	v72	v72	NA	NA	NA	v72	ddigmd072	10	Kan in zit soepel roteren	Can rotate fluently in sitting postion	60	1	0	0
84	v17	v17	v51	v1528	GSMKTW6	n51	ddifmd017	10	Stapelt 6 blokjes	Builds tower of 6 cubes	62.6	1	0	1
85	v18	v18	v52	v1529	GSPUTFIG	n52	ddifmd018	10	Plaatst ronde vorm in stoof	Places round form in form-box	60.3	1	0	1
86	v19	v19	v53	v1530	GSTKCLO	n53	ddifmm019	10	Trekt kledingstuk uit (M)	Undresses himself	60.6	1	0	1
87	na6	NA	v54	v1531	GSEATSPN	n54	ddifmd154	10	Eet zelf met lepel (M)	Eats with spoon without help (M; can ask parents)	58.5	1	0	1
88	v43	v43	v55	v1532	GSREFER	n55	ddicmm043	10	Noemt zichzelf mij of ik  (M)	Refers to self using 'me' or 'I'	61.7	1	0	1
89	v44	v44	v56	v1533	GSID5OBJ	n56	ddicmd044	10	Wijst 5 plaatjes aan in boek	Points at 5 pictures in the book	62.2	0	0	1
90	v71	v71	v57	v1534	GSKIK	n57	ddigmd071	10	Schopt bal weg	Kicks ball	64.2	1	1	1
91	NA	NA	NA	NA	GSKIKR	NA	NA	10	Schopt bal weg -r	Kicks ball -r	NA	1	1	1
92	NA	NA	NA	v1535	GSKIKL	NA	NA	10	Schopt bal weg -l	Kicks ball-l	NA	1	1	1
93	v20	v20	NA	NA	NA	v20	ddifmd020	11	Bouwt vrachtauto na	Imitates building a truck	67.6	1	0	0
94	v21	v21	NA	NA	NA	v21	ddifmd021	11	Plaatst 3 vormen in stoof	Places 3 forms in form-box	65	1	0	0
95	v22	v22	NA	NA	NA	v22	ddifmd022	11	Tekent verticale lijn na	Imitates drawing a vertical line	66.4	1	0	0
96	v45	v45	NA	NA	NA	v45	ddicmm045	11	Zegt zinnen van 3 of meer woorden (M)	Says 'sentences' of 3 or more words	63.3	1	0	0
97	v46	v46	NA	NA	NA	v46	ddicmm046	11	Is verstaanbaar voor bekenden (M)	Speech is understood by acquaintances	61.8	1	0	0
98	v73	v68c	NA	NA	NA	v73	ddigmd268	11	Loopt soepel	Walks alone, Walks smoothly	61.8	1	0	0
99	v74	v73	NA	NA	NA	v74	ddigmm073	11	Fietst (op driewieler) (M)	Rides (tri)cycle	67.1	1	0	0
100	v23	v23	NA	NA	NA	v23	ddifmd023	12	Bouwt brug na	Imitates building a bridge	68.9	1	0	0
101	v24	v24	NA	NA	NA	v24	ddifmd024	12	Plaatst 4 vormen in stoof	Places 4 forms in form-box	68.9	1	0	0
102	v25	v25	NA	NA	NA	v25	ddifmm025	12	Trekt eigen kledingstuk aan (M)	Puts on own farment	67.6	1	0	0
103	v47	v47	NA	NA	NA	v47	ddicmm047	12	Praat spontaan over gebeurtenissen thuis (M)	Talks spontaneously about events at home or playgroup	66.9	1	0	0
104	v48	v48	NA	NA	NA	v48	ddicmm048	12	Stelt vragen naar wie, wat, waar, hoe (M)	Asks questions about 'who', 'what', 'where' and 'how'	66.2	1	0	0
105	v75	v74	NA	NA	NA	v75	ddigmd074	12	Springt met beide voeten tegelijk	Jumps with both feet simultaneously	66.6	1	0	0
106	v26	v27	NA	NA	NA	v26	ddifmd027	13	Houdt potlood met vingers vast	Holds pencil with fingers	69	1	0	0
107	v27	v26	NA	NA	NA	v27	ddifmd026	13	Tekent cirkel na	Copies a circle	69.9	1	0	0
108	v49	v49	NA	NA	NA	v49	ddicmd049	13	Is goed verstaanbaar voor onderzoeker	Speech is easily understood by examiner	66.7	1	0	0
109	v50	v50	NA	NA	NA	v50	ddicmm050	13	Stelt vragen naar hoeveel, wanneer, waarom (M)	Asks questions about 'how much', 'when', 'why'	69.5	1	0	0
110	na7	v28	NA	NA	NA	na7	ddixxd0a7	14	Tekent kruis na	Copies a cross	NA	1	0	0
111	na8	v51	NA	NA	NA	na8	ddixxd0a8	14	Begrijpt analogien en tegenstellingen (M)	Understands analogies and oppositions	NA	1	0	0
112	na9	v75	NA	NA	NA	na9	ddixxd0a9	14	Kan minstens 5 seconden op een been staan (RL)	Can stand on one foot at least 5 seconds	NA	1	1	0
