item	equate	label
aqifmc014	FM14	Does your baby reach for a crumb or Cheerio and touch it with his finger or hand? (if he already picks up a small object the size of a pea, mark "yes"  for this item)
aqifmc015	FM17	Does your baby try to pick up a crumb or Cheerio by using his thumb and all his fingers in a raking motion, even if he isn't able to pick it up? (if he already picks up the crumb or Cheerio, mark "yes" for this item).
aqifmc016	FM20	Does your baby successfully pick up a crumb or Cheerio by using his thumb and all his fingers in a raking motion? (If he already picks up a crumb or Cheerio, mark "yes" for this item.)
aqifmc017	FM22	Does your baby pick up a small toy with the tips of her thumb and fingers? (You should see a space between the toy and her palm.)
aqifmc018	COG29	After one or two tries, does your baby pick up a piece of string with her first finger and thumb? (The string may be attached to a toy.)
aqifmc019	FM97	Does your baby pick up a crumb or Cheerio with the tips of his thumb and a finger? He may rest his arm or hand on the table while doing it.
aqifmc020	FM98	Does your baby put a small toy down, without dropping it, and then take her hand off the toy?
aqifmc021	FM26	Without resting his arm or hand on the table, does your baby pick up a crumb or Cheerio with the tip of his thumb and a finger?
aqifmc022	FM99	Does your baby/child help turn the pages of a book? (You may lift a page for her to grasp.)
aqifmc023	FM27	Does your child turn the pages of a book by himself? (He may turn more than one page at a time.)
aqifmc024	FM100	Does your baby/child make a mark on the paper with the tip of a crayon (or pencil or pen) when trying to draw?
aqifmc025	FM31	Does your baby/child stack a small block or toy on top of another one? (You could also use spools of thread, small boxes, or toys that are about 1 inch in size.)
aqifmc027	FM101	Does your baby/child throw a small ball with a forward arm motion? (If he simply drops the ball, mark "not yet" for this item.)
aqifmc029	FM103	Does your child get a spoon into her mouth right side up so that the food usually doesn't spill?
aqifmc030	FM104	Does your child stack six small blocks or toys on top of each other by himself? Note--add this example to 2-22 only (You could also use spools of thread, small boxes, or toys that are about 1 inch in size.)
aqifmc031	FM11	Does your child use a turning motion with her hand while trying to turn doorknobs, wind up toys, twist tops, or screw lids on and off jars?
aqifmc032	FM107	Does your child turn pages in a book, one page at a time?
aqifmc033	FM43	After your child watches you draw a single circle, ask him to make a circle like yours. Do not let him trace your circle. Does your child copy you by drawing a circle?
aqifmc034	FM41	After your child watches you draw a line from the top of the paper to the bottom with a pencil, crayon, or pen,  ask him to make a line like yours. Do not let your child trace your line. Does your child copy you by drawing a single line in a vertical direction?
aqifmc035	FM40	After your child watches you draw a line from one side of the paper to the other side, ask her to make a line like yours. Do not let your child trace your line. Does your child copy you by drawing a single line in a horizontal direction?
aqifmc036	FM45	Can your child string small items such as beads, macaroni or pasta "wagon wheels", onto a string or shoelace?
aqifmc037	FM47	Does your child try to cut paper with child-safe scissors? She does not need to cut the paper but must get the blades to open and close while holding the paper with the other hand. (You may show your child how to use scissors. Carefully watch your child's use of scissors for safety reasons.)
aqifmc038	FM48	When drawing, does your child hold a pencil, crayon, or pen between her fingers and thumb like an adult does?
aqifmc039	COG82	Does your child put together a five to seven piece interlocking puzzle? (If one is not available, take a full-page picture from a magazine or catalog and cut it into six pieces. Does your child put it back together correctly?)
aqifmc040	FM109	Does your child unbutton one or more buttons? (Your child may use his own clothing or a doll's clothing. )
aqifmc041	FM110	Using the shape at right to look at, does your child copy it onto a large piece of paper using a pencil or crayon, without tracing? Your child's drawing should look like the design of the shape, except it may be different in size.
aqifmc042	FM111	Does your child draw pictures of people that have at least three of the following features: head, eyes, nose, mouth, neck, hair, trunk, arms, hands, legs, or feet?
aqifmc043	FM112	cuts up soft food into smaller pieces using a dull knife
aqifmc044	FM51	Using child-safe scissors, does your child cut a paper in half on a more or less straight line, making the blades go up and down? (Carefully watch your child's use of scissors for safety reasons.)
aqifmc045	FM113	holds 5 or more playing cards so they look like a fan
aqifmc046	FM57	buttons large sized buttons 
aqifmc047	FM114	buckles seat belt when riding in car
aqifmc048	FM115	Ask your child to trace on the line below with a pencil. Does your child trace on the line without going off the line more than two times? (Mark "sometimes" if your child goes off the line three times.)
aqifmc049	FM59	Using the shapes below to look at, does your child copy at least three shapes onto a large piece of paper using a pencil or crayon, without tracing? (Your child's drawings should look similar to the design of the shapes below, but they may be different in size.)
aqifmc050	FM116	Ask your child to draw a picture of a person on a blank sheet of paper. You may ask your child to "Draw a picture of a girl or a boy." If your child draws a person with head, body, arms, and legs, mark "yes." If your child draws a person with only three parts (head, body, arms, or legs), mark "sometimes." If your child draws a person with two or fewer parts (head, body, arms, or legs), mark "not yet." Be sure to attach the sheet of paper with your child's drawing to this questionnaire.
aqifmc051	FM117	Does your child color mostly within the lines in a coloring book or within the lines of a 2 inch circle that you draw? (Your child should not go more than 1/4 inch outside the lines on most of the picture).
aqifmc052	FM118	Draw a line across a piece of paper. Using child-safe scissors, does your child cut the paper in half on a more or less straight line, making the blades go up and down? (Carefully watch your child's use of scissors for safety reasons.)
aqifmc053	FM119	cuts a 4 inch line across paper that is thick paper 
aqifmc054	FM120	Using the shapes below to look at, does your child copy the shapes in the space below without tracing? Your child's drawings should look similar to the design of the shapes below, but they may be different in size. (Mark "yes" if she copies all three shapes; mark "sometimes" if your child copies two shapes.) (Space for child's shapes.)
aqifmc055	FM121	Print your child's first name. Can your child copy the letters? The letters may be large, backward, or reversed. Mark "sometimes" if your child copies about half of the letters. (Space for adult's printing) (Space for child's printing)
aqifmc056	FM122	Does your child cut up soft food such as banana or mango into smaller pieces using the edge of a fork?
aqifmc057	FM123	Give your child an 8 1/2 by 11inch piece of paper and ask him to fold the short sides together. Does your child fold the paper so that the sides match up within a half inch?
aqifmc058	FM124	Does your child button most buttons on her clothing, including small buttons less than 1/2 inch?
aqifmc059	FM125	Using the letters below to look at, does your child copy the letters without tracing? Cover up all of the letters except the letter being copied. Mark "yes" if your child copies four of the letters, and you can read them. Mark "sometimes" if your child copies two or three letters, and you can read them. V H T C A  (Copy letters here.)
aqifmc060	FM126	Draw a 4-inch circle on a piece of paper. Does your child use child-safe scissors to cut it out staying within a 1/4 inch of the lines? (Carefully watch your child’s use of scissors for safety reasons.)
aqifmc061	FM127	Does your child cut up soft food such as banana or mango into smaller pieces using a dull knife in one hand and a fork in the other?
aqifmc062	FM128	Does your child successfully use a key to unlock the door?
aqifmc063	FM129	Can your child tie shoelaces making a bow?
aqigmc001		While your baby is on his back, does your he wave his arms and legs, wiggle and squirm?
aqigmc002		When your baby is on his back, does he kick his legs?
aqigmc003		After holding her head up while on her tummy, does your baby lay her head back down on the floor, rather than let it drop or fall forward?
aqigmc004		When your baby is on his tummy, does he hold his head up for a few seconds?
aqigmc005		While your baby is on his back, does he baby move his head from side to side?
aqigmc006		When your baby is on her tummy, does she turn her head to the side?
aqigmc007		When you hold him in a sitting position, does your baby hold his head steady?
aqigmc008		When your baby is on his tummy, does your baby hold his head up so that his chin is about 3 inches from the floor for at least 15 seconds?
aqigmc009		While your baby is on her back, does your baby bring her hands together over her chest, touching her fingers?
aqigmc010		While your baby is on his back, does your baby lift his legs high enough to see his feet?
aqigmc011		When your is on her tummy, does your she hold her head straight up, looking around? (She can rest on her arms while doing this.)
aqigmc012		When you put your baby on the floor, does she lean on her hands while sitting? (If she already sits up straight without leaning on her hands, mark "yes" for this item.)
aqigmc013		If you hold both hands just to balance your baby, does he support his own weight while standing?
aqigmc014		When your baby is on her tummy, does she straighten both arms and push her whole chest off the bed or floor?
aqigmc015		Does your baby roll from his back to his tummy, getting both arms out from under him?
aqigmc016		When sitting on the floor, does your baby sit up straight for several minutes without using her hands for support?
aqigmc017		Does your baby get into a crawling position by getting up on her hands and knees?
aqigmc018		When you stand your baby next to furniture or the crib rail, does he hold on without leaning his chest against the furniture for support?
aqigmc020		While holding onto furniture, does your baby lower himself with control (without falling or flopping down)?
aqigmc021		While holding onto furniture, does your baby bend down and pick up a toy from the floor and then return to a standing position?
aqigmc022		Does your baby walk beside furniture while holding on with only one hand?
aqigmc023		When you hold one hand just to balance your baby, does she take several steps forward? (If your baby already walks alone, mark "yes" for this item.)
aqigmc024		Does your baby/child bend over or squat to pick up an object from the floor and then stand up again without any support?
aqigmc025		Does your baby/child climb onto furniture or other large objects such as large climbing blocks?
aqigmc026		Does your baby/child stand up in the middle of the floor by himself and take several steps forward?
aqigmc027		Does your baby/child move around by walking, rather than by crawling on his hands and knees?
aqigmc028		Does your child walk well and seldom fall?
aqigmc029		Does your child climb on an object such as a chair to reach something she wants? (For example, to get a toy on a counter or to "help" you in the kitchen.)
aqigmc030		When you show your child how to kick a large ball, does he try to kick the ball by moving his leg forward or by walking into it? (If your child already kicks a ball, mark "yes" for this item.)
aqigmc031		Does your child walk either up or down at least two steps by himself? He may hold onto the railing or wall. Note- 1-27 and 2-30 add (You can look for this at a store, on a playground, or at home.)
aqigmc032		Does your child walk down stairs if you hold onto one of her hands? She may hold onto the railing or wall. (You can look for this at a store, on a playground, or at home.)
aqigmc033		Does your child run fairly well, stopping herself without bumping into things or falling?
aqigmc034		Without holding onto anything for support, does your child kick a ball by swinging his leg forward?
aqigmc036		Does your child jump with both feet leaving the floor at the same time?
aqigmc037		While standing, does your child throw a ball overhand by raising his arm to shoulder height and throwing the ball forward? (Dropping the ball or throwing the ball underhand should be scored as "not yet".)
aqigmc038		Does your child walk up stairs, using only one foot on each stair? (The left foot is on one step, and the right foot is on the next.) She may hold onto the railing or wall.
aqigmc039		Does your child jump forward at least 3 inches with both feet leaving the ground at the same time?
aqigmc040		Does your child stand on one foot for about 1 second without holding onto anything?
aqigmc041		While standing, does your child throw a ball overhand in the direction of a person standing at least 6 feet away? To throw overhand, your child must raise her arm to shoulder height and throw the ball forward. (Dropping the ball or throwing the ball underhand should be scored as "not yet".)
aqigmc042		Does your child walk on his tiptoes for 15 feet (about the length of a large car)? (You may show him how to do this.)
aqigmc043		Does your child catch a large ball with both hands? (You should stand about 5 feet away and give your child two or three tries before you mark the answer.)
aqigmc044		Does your child jump forward at least 6 inches with both feet leaving the ground at the same time?
aqigmc045		walks forward on straight line for 10 or more steps
aqigmc046		walks down stairs alternating feet
aqigmc047		Without holding onto anything, does your child stand on one foot for at least 5 seconds without losing his balance and putting his foot down? You may give your child two or three tries before you mark the answer.)
aqigmc048		Does your child hop up and down on either the right or left foot at least one time without losing his balance or falling?
aqigmc049		kicks a ball while running and changing directions
aqigmc050		can walk 10 or more steps forward
aqigmc051		hops on one foot for 2 feet
aqigmc052		jumps and turns so that faces other way
aqigmc053		hops in place on one foot 3 times
aqigmc054		Does your child jump forward a distance of 20 inches from a standing position, starting with her feet together?
aqigmc056		does all 3 movement patterns at least 2 times
aqigmc057		jumps forward 3 feet from standing position
aqigmc058		walks 10 ore more steps backward
aqigmc059		Does your child skip using alternating feet? You may show her how to do this?
aqigmc060		
aqigmc061		
aqigmc062		Does your child hop forward on one foot for a distance of 46 feet without putting down the other foot? You may give him two tries on each foot. Mark "sometimes" if he can hop on one foot only.
aqigmc063		
aqigmc064		
aqigmc065		
aqiNAc005	FM97	Does your baby pick up a crumb or Cheerio with the tips of his thumb and a finger? He may rest his arm or hand on the table while doing it. 
aqipxc001	COG120	Does your baby look at objects that are 8-10 inches away?
aqipxc002	FM4	When you move a small toy up and down slowly in front of her face (about 10 inches away), does your baby follow the toy with her eyes?
aqipxc003	FM3	When you move a toy slowly from side to side in front of your baby's face (about 10 inches away), does your baby follow the toy with his eyes, sometimes turning his head?
aqipxc004	FM2	When you move around, does your baby follow you with her eyes ?
aqipxc005	COG124	When you put a toy in her hand, does your baby look at it?
aqipxc006	COG125	When you hold your baby in a sitting position, does he look at a toy (about the size of a cup or rattle) that you place on the table or floor in front of him?
aqipxc007	COG126	When you put a toy in his hand, does your baby put the toy in his mouth?
aqipxc008	COG127	When you dangle a toy above your baby while she is lying on her back, does your baby wave her arms toward the toy?
aqipxc009	COG128	Does your baby pick up a toy and put it in his mouth?
aqipxc010	COG25	When your baby  is on his back, does he turn his head to look for a toy when he drops it? (If he already picks it up, mark "yes" for this item.)
aqipxc011	COG129	When your baby is on her back, does she try to get a toy she has dropped if she can see it?
aqipxc012	COG24	Does your baby play by banging a toy up and down on the floor or table?
aqipxc013	FM12	When a toy is in front of her, does your baby reach for it with both hands?
aqipxc014	COG131	Does your baby pass a toy back and forth from one hand to the other?
aqipxc015	COG132	When holding a toy in his hand, does your baby bang it against another toy on the table?
aqipxc016	COG27	Does your baby pick up two small toys, one in each hand, and hold onto them for about 1 minute?
aqipxc017	COG40	After watching you hide a small toy under a piece of paper or cloth, does your baby find it? (Be sure the toy is completely hidden.)
aqipxc018	COG133	While holding a small toy in each hand, does your baby clap the toys together (like "Pat-a-cake")?
aqipxc019	COG134	Does your baby poke at or try to get a crumb or Cheerio that is inside a clear bottle (such as a plastic soda-pop bottle or baby bottle)?
aqipxc020	COG36	If you put a small toy into a bowl or box, does your baby copy you by putting in a toy, although she may not let go of it? (If she already lets go of the toy into a bowl or box, mark "yes" for this item.)
aqipxc021	COG135	Does your baby drop two small toys, one after the other, into a container like a bowl or box? (You may show him how to do it.)
aqipxc022	COG136	If you give your child a bottle, spoon, or pencil upside down, does he turn it right side up so that he can use it properly?
aqipxc023	COG137	After you scribble back and forth on paper with a crayon (or a pencil or pen), does your baby/child copy you by scribbling? (If she already scribbles on her own, mark "yes" for this item.)
aqipxc024	COG54	Does your baby/child drop several small toys, one after another, into a container like a bowl or box? (You may show him how to do it.)
aqipxc025	FM33	Can your baby/child drop a crumb or Cheerio into a small, clear bottle (such as a plastic soda-pop bottle or baby bottle)?
aqipxc026	FM30	Without your showing him how, does your child scribble back and forth when you give him a crayon (or pencil or pen)?
aqipxc027	COG42	After a crumb or Cheerio is dropped into a small, clear bottle, does your child turn the bottle upside down to dump it out? (You may show her how.) (You can use a soda-pop bottle or a baby bottle.)
aqipxc028	COG140	After a crumb or Cheerio is dropped into a small, clear bottle, does your child turn the bottle upside down to dump out the crumb or Cheerio?( Do not show her how.) Note--on 5-22 and 2-24 add:(You can use a soda pop bottle or a baby bottle.)
aqipxc029	COG141	If you do any of the following gestures, does your child copy at least one of them? a. Open and close your mouth. b. Blink your eyes. c. Pull on your earlobe.  d. Pat your cheek.
aqipxc030	COG142	Does your child put things away where they belong? For example, does he know his toys belong on the toy shelf, his blanket goes on his bed, and dishes go in the kitchen?
aqipxc031	COG65	Does your child pretend objects are something else? For example, does your child hold a cup to his ear, pretending it is a telephone? Does he put a box on his head, pretending it is a hat? Does he use a block or small toy to stir food?
aqipxc032	COG143	While your child watches, line up four objects like blocks or cars in a row. Does your child copy or imitate you and line up at least two blocks side by side? (You can also use spools of thread, small boxes, or other toys.)
aqipxc033		If your child wants something she cannot reach, does she find a chair or box to stand on to reach it (for example to get a toy on a counter or to "help" you in the kitchen)?
aqipxc034	COG57	After you have shown your baby  how, does he try to get a small toy that is slightly out of reach by using a spoon, stick, or similar tool?
aqipxc035	COG144	When looking in the mirror, ask "Where is _______?" (Use your child's name.) Does your child point to her image in the mirror?
aqipxc036	FM44	copies caregiver and lines up 4 subjects in a row
aqipxc037	FM52	Show your child how to make a bridge with blocks, boxes, or cans, like the example. Does your child copy you by making one like it?
aqipxc038	COG147	When you say, "Say seven three," does your child repeat just the two numbers in the same order? Do not repeat the numbers.If necessary, try another pair of numbers and say, "Say eight two." Your child must repeat just one series of two numbers for you to answer "yes" to this question.
aqipxc039	COG148	Does your child dress up and "play-act," pretending to be someone or something else? For example, your child may dress up in different clothes and pretend to be a mommy, daddy, brother, or sister, or an imaginary animal or figure.
aqipxc040	COG149	When you point to the figure and ask your child, "What is this?" Does your child say a word that means a person or something similar? (Mark "yes" for responses like "snowman", "boy", "man", "girl", "Daddy", "spaceman" and "monkey"). Please write your child's response here.
aqipxc041	COG150	Without your giving help by pointing, does your child follow three different directions using the words "under," "between," and "middle"? For example, ask your child to put the shoe "under the couch."  Then ask her to put the ball " between the chairs" and the book "in the middle of the table."
aqipxc042	COG90	When you say, "Say five eight three," does your child repeat just the three numbers in the same order? Do not repeat the numbers. If necessary, try another series of numbers and say, "Say six nine two." Your child must repeat just one series of three numbers for you to answer "yes" to this question.
aqipxc043	COG151	After your child draws a "picture," even a simple scribble, does your child tell you what she drew? (You may say, "Tell me about your picture," or ask, "What is this?" to prompt her.)
aqipxc044	COG152	After watching you draw a line from the top of the paper to the bottom with a crayon (or pencil or pen), does your child copy you by drawing a single line on the paper in any direction? (Mark "not yet" if your child scribbles back and forth)
aqipxc045	COG75	When asked, "Which circle is the smallest?" does your child point to the smallest circle? Ask this question without providing help by pointing, gesturing, or looking at the smallest circle.
aqipxc046	COG153	When shown objects and asked, "What color is this?" does your child name five different colors like red, blue, yellow, orange, black, white, or pink? (Mark "yes" only if your child answers the question correctly using five colors.)
aqipxc047	COG79	If you place five objects in front of your child, can he count them saying, "One, two, three, four, five," in order? Ask the question without providing help by pointing, gesturing, or naming.
aqipxc048	COG154	Does your child know the following six words for shapes? For example, your child says, "That's a square," when pointing to a box. If she knows at least 3 shapes mark "sometimes". a. circle  b. triangle  c. diamond  d. square  e. rectangle  f. star.
aqipxc049	COG80	can tell which one is biggest and smallest
aqipxc050	COG155	correctly names more than 10 letters
aqipxc051	COG156	Does your child finish the following sentences using a word that means the opposite of the word that is italicized? For example: "A rock is hard, and a pillow is soft." Please write your child's responses below: A cow is big, and a mouse is ______. Ice is cold, and fire is ______. We see stars at night, and we see the sun during the ______. When I throw the ball up, it comes ______. Mark "yes" if she finishes three of four sentences correctly. Mark "sometimes" if she finishes two of four sentences correctly.
aqipxc052	COG157	Does your child know the names of numbers?( Mark "yes" if he identifies the three numbers (3, 1, 2) below. Mark "sometimes" if he identifies two numbers.)
aqipxc053	COG158	Does your child name at least four letters in her name? Point to the letters and ask, "What letter is this?" (Point to the letters out of order.)
aqipxc054	COG159	Does your child know printed numbers from 1 to 10? For example, when you point to a number in a book, on cards, or on road signs, does your child correctly name the numbers? ( If your child knows at least 5 numbers, mark "sometimes".)
aqipxc055	COG160	Does your child count up to 15 without making mistakes? If so, mark "yes." If your child counts to 12 without making mistakes, mark "sometimes."
aqipxc056	COG161	Can your child show you her left hand or her left foot?
aqipxc057	COG162	Does your child know the sounds of 5 of these letters? s, t, k, m, p, c, f, j.
aqipxc058	COG163	Does your child count up to 20?
aqipxc059	COG164	Put a penny, nickel, and dime in front of your child. Can your child point to the penny?
aqipxc060	COG165	Does your child say the days of the seven week in the correct order?
aqipxc061	COG166	Ask your child what day comes before and after Friday, does your child answer correctly? Mark "sometimes" if your child can name one of the days.
aqipxc062	COG167	Ask your child what is 6 minus (or take away) 1, 4 minus 2, and 8 minus 3. Does your child correctly subtract one number from another? They can use their fingers to count.
aqipxc063	COG168	Does your child tell you if a spoken or printed word has the same or different beginning and ending sounds? For example, CAR and CAKE have the same beginning sounds. BEG and DOG have the same end sounds. MAMA and LLAMA have different beginning sounds. TOP and TOY have different ending sounds.
aqipxc064	COG169	Can your child count past “40”?
aqipxc065	COG170	Does your child correctly spell 3-letter words? For example, “cat,” “dog,”  “pen”.
aqipxc066	COG171	Can your child tell you all 12 months of the year? Mark “Sometimes” if your child can tell you more than 6 months of the year.
aqipxc067	COG172	Ask your child what is 4 plus 2, 3 plus 5, 7 plus 1. Does your child correctly add the numbers? They can use their fingers to count.
aqipxc068	COG173	Can your child count to 100 by 10’s?
aqislc001		Does your baby cry when she is hungry, wet, tired, or wants to be held?
aqislc002		Does your baby sometimes try to suck, even when he's not feeding?
aqislc003		Does your baby smile at you?
aqislc004		When you smile at your baby, does she smile back?
aqislc005		When your baby sees the breast or bottle, does he seem to know he is about to be fed?
aqislc006		smiles when sees caregiver nearby
aqislc007		Does your baby watch his hands?
aqislc008		plays with fingers when hands together
aqislc009		When in front of a large mirror, does your baby smile or coo at herself?
aqislc010		While lying on her back, does your baby play by grabbing her foot?
aqislc011		Does your baby try to get a toy that is out of reach? (She may roll, pivot on her tummy, or crawl to get it.)
aqislc012		helps hold bottle with both hands or holds breast with free hand
aqislc013	COG22	When in front of a large mirror, does your baby reach out to pat the mirror?
aqislc014		Does your baby feed himself a cracker or a cookie?
aqislc015		Does your baby drink water, juice, or formula from a cup while you hold it?
aqislc016		Does your baby act differently toward strangers than he does with you and other familiar people? (Reactions to strangers may include staring, frowning, withdrawing, or crying.)
aqislc017		While your baby is on his back, does he put his foot in his mouth?
aqislc018		When you dress your baby, does he push his arm through a sleeve once his arm is started in the hole of the sleeve?
aqislc019		When you hold out your hand and ask for her toy, does your baby offer it to you even if she doesn't let go of it? (If she already lets go of the toy into your hand, mark "yes" for this item.)
aqislc020		When you hold out your hand and ask for her toy, does your baby let go of it into your hand?
aqislc021		Does your baby roll or throw a ball back to you so that you can return it to him?
