item	instrument	domain	mode	number	equate	label
aqicmc040	aqi	cm	c	040		Does your child make sentences that are three or four words long? Please give an example:
aqicmc041	aqi	cm	c	041		Without your giving help by pointing or repeating directions, does your child follow three directions that are unrelated to one another? Give all three directions before your child starts. For example, you may ask your child to "Clap your hands, walk to the door, and sit down," or "Give me the pen, open the book, and stand up."                                       (5/26/10 this item was corrected to match the published version,ASQ3 English text)
aqicmc042	aqi	cm	c	042		Does your child answer the following questions:  (Mark "sometimes" if your child answers only one question.) "What do you do when you are hungry?" (Acceptable answers include: "get food," "eat," "ask for something to eat," and "have a snack.") Please write your child's response: "What do you do when you are tired?" (Acceptable answers include: "take a nap," "rest," "go to sleep," "go to bed," "lie down," and "sit down.") Please write your child's response:.
aqicmc043	aqi	cm	c	043		Does your child use four- and five-word sentences? For example, does your child say, "I want the car"? Please write an example:
aqicmc044	aqi	cm	c	044		Does your child name at least three items from a common category? For example, if you say to your child, "Tell me some things that you can eat," does your child answer with something like, "Cookies, eggs, and cereal"? Or if you say, "Tell me the names of some animals," does your child answer with something like, "cow, dog, and elephant"?
aqicmc045	aqi	cm	c	045		Does your child use endings of words, such as "s," "ed," and "ing"? For example, does your child say things like, "I see two cats," "I am playing," or "I kicked the ball"?
aqicmc051	aqi	cm	c	051		When talking about something that already happened, does your child use words that end in "ed," such as "walked", "jumped", or"played"? Ask your child questions, such as "How did you get to the store?" ("We walked.") "What did you do at your friend's house?" ("We played.") Please write an example:
aqicmc052	aqi	cm	c	052		Does your child tell you at least two things about common objects? For example, if you say to your child, "Tell me about your ball," does he say something like, "It's round. I throw it. It's big"?
aqicmc055	aqi	cm	c	055		Does your child use all of the words in a sentence (for example, "a," "the," "am," "is," and "are") to make complete sentences, such as "I am going to the park," or " Is there a toy to play with?" or " Are you coming, too?"
aqicmc060	aqi	cm	c	060		Does your child repeat the sentences shown below back to you, without any mistakes?(Read the sentences one at a time. You may repeat each sentence one time. Mark "yes" if your child repeats both sentences without mistakes or "sometimes" if your child repeats one sentence without mistakes. Jane hides her shoes for Maria to find. Al read the blue book under his bed.
aqicmc061	aqi	cm	c	061		When you ask, "What is your name?" does your child say both her first and last names?
aqicmc065	aqi	cm	c	065		Does your child use comparison words, such as "heavier," "stronger", or "shorter"? Ask your child questions, such as "A car is big, but a bus is _____" (bigger); "A cat is heavy, but a man is _____" (heavier); "A TV is small, but a book is _____" (smaller). Please write an example:
aqifmc001	aqi	fm	c	001		Does your baby touch her face with her hands?
aqifmc002	aqi	fm	c	002		Does your baby grasp your finger if you touch the palm of her hand?
aqifmc003	aqi	fm	c	003		Does your baby hold his hands open or partly open when he is awake (rather than in fists, as they were when he was a newborn)?
aqifmc004	aqi	fm	c	004		Is your baby's hand usually tightly closed when he is awake?(If your baby used to do this but no longer does, mark "yes.")
aqifmc005	aqi	fm	c	005		Does your baby grab or scratch at her clothes?
aqifmc009	aqi	fm	c	009		Does your baby grab a toy you offer and look at it, wave it about, or chew on it for about 1 minute?
aqifmc011	aqi	fm	c	011		Does your baby pick up a small toy with only one hand?
aqifmc012	aqi	fm	c	012		Does your baby reach for or grasp a toy using both hands at once?
aqifmc013	aqi	fm	c	013		Does your baby pick up a small toy, holding it in the center of her hands with her fingers around it?
aqifmc014	aqi	fm	c	014		Does your baby reach for a crumb or Cheerio and touch it with his finger or hand? (if he already picks up a small object the size of a pea, mark "yes"  for this item)
aqifmc015	aqi	fm	c	015		Does your baby try to pick up a crumb or Cheerio by using his thumb and all his fingers in a raking motion, even if he isn't able to pick it up? (if he already picks up the crumb or Cheerio, mark "yes" for this item).
aqifmc016	aqi	fm	c	016		Does your baby successfully pick up a crumb or Cheerio by using his thumb and all his fingers in a raking motion? (If he already picks up a crumb or Cheerio, mark "yes" for this item.)
aqifmc017	aqi	fm	c	017		Does your baby pick up a small toy with the tips of her thumb and fingers? (You should see a space between the toy and her palm.)
aqifmc018	aqi	fm	c	018		After one or two tries, does your baby pick up a piece of string with her first finger and thumb? (The string may be attached to a toy.)
aqifmc019	aqi	fm	c	019		Does your baby pick up a crumb or Cheerio with the tips of his thumb and a finger? He may rest his arm or hand on the table while doing it.
aqifmc020	aqi	fm	c	020		Does your baby put a small toy down, without dropping it, and then take her hand off the toy?
aqifmc021	aqi	fm	c	021		Without resting his arm or hand on the table, does your baby pick up a crumb or Cheerio with the tip of his thumb and a finger?
aqifmc022	aqi	fm	c	022		Does your baby/child help turn the pages of a book? (You may lift a page for her to grasp.)
aqifmc023	aqi	fm	c	023		Does your child turn the pages of a book by himself? (He may turn more than one page at a time.)
aqifmc024	aqi	fm	c	024		Does your baby/child make a mark on the paper with the tip of a crayon (or pencil or pen) when trying to draw?
aqifmc025	aqi	fm	c	025		Does your baby/child stack a small block or toy on top of another one? (You could also use spools of thread, small boxes, or toys that are about 1 inch in size.)
aqifmc027	aqi	fm	c	027		Does your baby/child throw a small ball with a forward arm motion? (If he simply drops the ball, mark "not yet" for this item.)
aqifmc029	aqi	fm	c	029		Does your child get a spoon into her mouth right side up so that the food usually doesn't spill?
aqifmc030	aqi	fm	c	030		Does your child stack six small blocks or toys on top of each other by himself? Note--add this example to 2-22 only (You could also use spools of thread, small boxes, or toys that are about 1 inch in size.)
aqifmc031	aqi	fm	c	031		Does your child use a turning motion with her hand while trying to turn doorknobs, wind up toys, twist tops, or screw lids on and off jars?
aqifmc032	aqi	fm	c	032		Does your child turn pages in a book, one page at a time?
aqifmc033	aqi	fm	c	033		After your child watches you draw a single circle, ask him to make a circle like yours. Do not let him trace your circle. Does your child copy you by drawing a circle?
aqifmc034	aqi	fm	c	034		After your child watches you draw a line from the top of the paper to the bottom with a pencil, crayon, or pen,  ask him to make a line like yours. Do not let your child trace your line. Does your child copy you by drawing a single line in a vertical direction?
aqifmc035	aqi	fm	c	035		After your child watches you draw a line from one side of the paper to the other side, ask her to make a line like yours. Do not let your child trace your line. Does your child copy you by drawing a single line in a horizontal direction?
aqifmc036	aqi	fm	c	036		Can your child string small items such as beads, macaroni or pasta "wagon wheels", onto a string or shoelace?
aqifmc037	aqi	fm	c	037		Does your child try to cut paper with child-safe scissors? She does not need to cut the paper but must get the blades to open and close while holding the paper with the other hand. (You may show your child how to use scissors. Carefully watch your child's use of scissors for safety reasons.)
aqifmc038	aqi	fm	c	038		When drawing, does your child hold a pencil, crayon, or pen between her fingers and thumb like an adult does?
aqifmc039	aqi	fm	c	039		Does your child put together a five to seven piece interlocking puzzle? (If one is not available, take a full-page picture from a magazine or catalog and cut it into six pieces. Does your child put it back together correctly?)
aqifmc040	aqi	fm	c	040		Does your child unbutton one or more buttons? (Your child may use his own clothing or a doll's clothing. )
aqifmc041	aqi	fm	c	041		Using the shape at right to look at, does your child copy it onto a large piece of paper using a pencil or crayon, without tracing? Your child's drawing should look like the design of the shape, except it may be different in size.
aqifmc042	aqi	fm	c	042		Does your child draw pictures of people that have at least three of the following features: head, eyes, nose, mouth, neck, hair, trunk, arms, hands, legs, or feet?
aqifmc044	aqi	fm	c	044		Using child-safe scissors, does your child cut a paper in half on a more or less straight line, making the blades go up and down? (Carefully watch your child's use of scissors for safety reasons.)
aqifmc048	aqi	fm	c	048		Ask your child to trace on the line below with a pencil. Does your child trace on the line without going off the line more than two times? (Mark "sometimes" if your child goes off the line three times.)
aqifmc049	aqi	fm	c	049		Using the shapes below to look at, does your child copy at least three shapes onto a large piece of paper using a pencil or crayon, without tracing? (Your child's drawings should look similar to the design of the shapes below, but they may be different in size.)
aqifmc050	aqi	fm	c	050		Ask your child to draw a picture of a person on a blank sheet of paper. You may ask your child to "Draw a picture of a girl or a boy." If your child draws a person with head, body, arms, and legs, mark "yes." If your child draws a person with only three parts (head, body, arms, or legs), mark "sometimes." If your child draws a person with two or fewer parts (head, body, arms, or legs), mark "not yet." Be sure to attach the sheet of paper with your child's drawing to this questionnaire.
aqifmc051	aqi	fm	c	051		Does your child color mostly within the lines in a coloring book or within the lines of a 2 inch circle that you draw? (Your child should not go more than 1/4 inch outside the lines on most of the picture).
aqifmc052	aqi	fm	c	052		Draw a line across a piece of paper. Using child-safe scissors, does your child cut the paper in half on a more or less straight line, making the blades go up and down? (Carefully watch your child's use of scissors for safety reasons.)
aqifmc054	aqi	fm	c	054		Using the shapes below to look at, does your child copy the shapes in the space below without tracing? Your child's drawings should look similar to the design of the shapes below, but they may be different in size. (Mark "yes" if she copies all three shapes; mark "sometimes" if your child copies two shapes.) (Space for child's shapes.)
aqifmc055	aqi	fm	c	055		Print your child's first name. Can your child copy the letters? The letters may be large, backward, or reversed. Mark "sometimes" if your child copies about half of the letters. (Space for adult's printing) (Space for child's printing)
aqifmc059	aqi	fm	c	059		Using the letters below to look at, does your child copy the letters without tracing? Cover up all of the letters except the letter being copied. Mark "yes" if your child copies four of the letters, and you can read them. Mark "sometimes" if your child copies two or three letters, and you can read them. V H T C A  (Copy letters here.)
aqigmc001	aqi	gm	c	001		While your baby is on his back, does your he wave his arms and legs, wiggle and squirm?
aqigmc002	aqi	gm	c	002		When your baby is on his back, does he kick his legs?
aqigmc003	aqi	gm	c	003		After holding her head up while on her tummy, does your baby lay her head back down on the floor, rather than let it drop or fall forward?
aqigmc004	aqi	gm	c	004		When your baby is on his tummy, does he hold his head up for a few seconds?
aqigmc005	aqi	gm	c	005		While your baby is on his back, does he baby move his head from side to side?
aqigmc006	aqi	gm	c	006		When your baby is on her tummy, does she turn her head to the side?
aqigmc007	aqi	gm	c	007		When you hold him in a sitting position, does your baby hold his head steady?
aqigmc008	aqi	gm	c	008		When your baby is on his tummy, does your baby hold his head up so that his chin is about 3 inches from the floor for at least 15 seconds?
aqigmc009	aqi	gm	c	009		While your baby is on her back, does your baby bring her hands together over her chest, touching her fingers?
aqigmc010	aqi	gm	c	010		While your baby is on his back, does your baby lift his legs high enough to see his feet?
aqigmc011	aqi	gm	c	011		When your is on her tummy, does your she hold her head straight up, looking around? (She can rest on her arms while doing this.)
aqigmc012	aqi	gm	c	012		When you put your baby on the floor, does she lean on her hands while sitting? (If she already sits up straight without leaning on her hands, mark "yes" for this item.)
aqigmc013	aqi	gm	c	013		If you hold both hands just to balance your baby, does he support his own weight while standing?
aqigmc014	aqi	gm	c	014		When your baby is on her tummy, does she straighten both arms and push her whole chest off the bed or floor?
aqigmc015	aqi	gm	c	015		Does your baby roll from his back to his tummy, getting both arms out from under him?
aqigmc016	aqi	gm	c	016		When sitting on the floor, does your baby sit up straight for several minutes without using her hands for support?
aqigmc017	aqi	gm	c	017		Does your baby get into a crawling position by getting up on her hands and knees?
aqigmc018	aqi	gm	c	018		When you stand your baby next to furniture or the crib rail, does he hold on without leaning his chest against the furniture for support?
aqigmc020	aqi	gm	c	020		While holding onto furniture, does your baby lower himself with control (without falling or flopping down)?
aqigmc021	aqi	gm	c	021		While holding onto furniture, does your baby bend down and pick up a toy from the floor and then return to a standing position?
aqigmc022	aqi	gm	c	022		Does your baby walk beside furniture while holding on with only one hand?
aqigmc023	aqi	gm	c	023		When you hold one hand just to balance your baby, does she take several steps forward? (If your baby already walks alone, mark "yes" for this item.)
aqigmc024	aqi	gm	c	024		Does your baby/child bend over or squat to pick up an object from the floor and then stand up again without any support?
aqigmc025	aqi	gm	c	025		Does your baby/child climb onto furniture or other large objects such as large climbing blocks?
aqigmc026	aqi	gm	c	026		Does your baby/child stand up in the middle of the floor by himself and take several steps forward?
aqigmc027	aqi	gm	c	027		Does your baby/child move around by walking, rather than by crawling on his hands and knees?
aqigmc028	aqi	gm	c	028		Does your child walk well and seldom fall?
aqigmc029	aqi	gm	c	029		Does your child climb on an object such as a chair to reach something she wants? (For example, to get a toy on a counter or to "help" you in the kitchen.)
aqigmc030	aqi	gm	c	030		When you show your child how to kick a large ball, does he try to kick the ball by moving his leg forward or by walking into it? (If your child already kicks a ball, mark "yes" for this item.)
aqigmc031	aqi	gm	c	031		Does your child walk either up or down at least two steps by himself? He may hold onto the railing or wall. Note- 1-27 and 2-30 add (You can look for this at a store, on a playground, or at home.)
aqigmc032	aqi	gm	c	032		Does your child walk down stairs if you hold onto one of her hands? She may hold onto the railing or wall. (You can look for this at a store, on a playground, or at home.)
aqigmc033	aqi	gm	c	033		Does your child run fairly well, stopping herself without bumping into things or falling?
aqigmc034	aqi	gm	c	034		Without holding onto anything for support, does your child kick a ball by swinging his leg forward?
aqigmc036	aqi	gm	c	036		Does your child jump with both feet leaving the floor at the same time?
aqigmc037	aqi	gm	c	037		While standing, does your child throw a ball overhand by raising his arm to shoulder height and throwing the ball forward? (Dropping the ball or throwing the ball underhand should be scored as "not yet".)
aqigmc038	aqi	gm	c	038		Does your child walk up stairs, using only one foot on each stair? (The left foot is on one step, and the right foot is on the next.) She may hold onto the railing or wall.
aqigmc039	aqi	gm	c	039		Does your child jump forward at least 3 inches with both feet leaving the ground at the same time?
aqigmc040	aqi	gm	c	040		Does your child stand on one foot for about 1 second without holding onto anything?
aqigmc041	aqi	gm	c	041		While standing, does your child throw a ball overhand in the direction of a person standing at least 6 feet away? To throw overhand, your child must raise her arm to shoulder height and throw the ball forward. (Dropping the ball or throwing the ball underhand should be scored as "not yet".)
aqigmc042	aqi	gm	c	042		Does your child walk on his tiptoes for 15 feet (about the length of a large car)? (You may show him how to do this.)
aqigmc043	aqi	gm	c	043		Does your child catch a large ball with both hands? (You should stand about 5 feet away and give your child two or three tries before you mark the answer.)
aqigmc044	aqi	gm	c	044		Does your child jump forward at least 6 inches with both feet leaving the ground at the same time?
aqigmc047	aqi	gm	c	047		Without holding onto anything, does your child stand on one foot for at least 5 seconds without losing his balance and putting his foot down? You may give your child two or three tries before you mark the answer.)
aqigmc048	aqi	gm	c	048		Does your child hop up and down on either the right or left foot at least one time without losing his balance or falling?
aqigmc054	aqi	gm	c	054		Does your child jump forward a distance of 20 inches from a standing position, starting with her feet together?
aqigmc059	aqi	gm	c	059		Does your child skip using alternating feet? You may show her how to do this?
aqigmc062	aqi	gm	c	062		Does your child hop forward on one foot for a distance of 46 feet without putting down the other foot? You may give him two tries on each foot. Mark "sometimes" if he can hop on one foot only.
aqipxc001	aqi	px	c	001		Does your baby look at objects that are 8-10 inches away?
aqipxc002	aqi	px	c	002		When you move a small toy up and down slowly in front of her face (about 10 inches away), does your baby follow the toy with her eyes?
aqipxc003	aqi	px	c	003		When you move a toy slowly from side to side in front of your baby's face (about 10 inches away), does your baby follow the toy with his eyes, sometimes turning his head?
aqipxc004	aqi	px	c	004		When you move around, does your baby follow you with her eyes ?
aqipxc005	aqi	px	c	005		When you put a toy in her hand, does your baby look at it?
aqipxc006	aqi	px	c	006		When you hold your baby in a sitting position, does he look at a toy (about the size of a cup or rattle) that you place on the table or floor in front of him?
aqipxc007	aqi	px	c	007		When you put a toy in his hand, does your baby put the toy in his mouth?
aqipxc008	aqi	px	c	008		When you dangle a toy above your baby while she is lying on her back, does your baby wave her arms toward the toy?
aqipxc009	aqi	px	c	009		Does your baby pick up a toy and put it in his mouth?
aqipxc010	aqi	px	c	010		When your baby  is on his back, does he turn his head to look for a toy when he drops it? (If he already picks it up, mark "yes" for this item.)
aqipxc011	aqi	px	c	011		When your baby is on her back, does she try to get a toy she has dropped if she can see it?
aqipxc012	aqi	px	c	012		Does your baby play by banging a toy up and down on the floor or table?
aqipxc013	aqi	px	c	013		When a toy is in front of her, does your baby reach for it with both hands?
aqipxc014	aqi	px	c	014		Does your baby pass a toy back and forth from one hand to the other?
aqipxc015	aqi	px	c	015		When holding a toy in his hand, does your baby bang it against another toy on the table?
aqipxc016	aqi	px	c	016		Does your baby pick up two small toys, one in each hand, and hold onto them for about 1 minute?
aqipxc017	aqi	px	c	017		After watching you hide a small toy under a piece of paper or cloth, does your baby find it? (Be sure the toy is completely hidden.)
aqipxc018	aqi	px	c	018		While holding a small toy in each hand, does your baby clap the toys together (like "Pat-a-cake")?
aqipxc019	aqi	px	c	019		Does your baby poke at or try to get a crumb or Cheerio that is inside a clear bottle (such as a plastic soda-pop bottle or baby bottle)?
aqipxc020	aqi	px	c	020		If you put a small toy into a bowl or box, does your baby copy you by putting in a toy, although she may not let go of it? (If she already lets go of the toy into a bowl or box, mark "yes" for this item.)
aqipxc021	aqi	px	c	021		Does your baby drop two small toys, one after the other, into a container like a bowl or box? (You may show him how to do it.)
aqipxc022	aqi	px	c	022		If you give your child a bottle, spoon, or pencil upside down, does he turn it right side up so that he can use it properly?
aqipxc023	aqi	px	c	023		After you scribble back and forth on paper with a crayon (or a pencil or pen), does your baby/child copy you by scribbling? (If she already scribbles on her own, mark "yes" for this item.)
aqipxc024	aqi	px	c	024		Does your baby/child drop several small toys, one after another, into a container like a bowl or box? (You may show him how to do it.)
aqipxc025	aqi	px	c	025		Can your baby/child drop a crumb or Cheerio into a small, clear bottle (such as a plastic soda-pop bottle or baby bottle)?
aqipxc026	aqi	px	c	026		Without your showing him how, does your child scribble back and forth when you give him a crayon (or pencil or pen)?
aqipxc027	aqi	px	c	027		After a crumb or Cheerio is dropped into a small, clear bottle, does your child turn the bottle upside down to dump it out? (You may show her how.) (You can use a soda-pop bottle or a baby bottle.)
aqipxc028	aqi	px	c	028		After a crumb or Cheerio is dropped into a small, clear bottle, does your child turn the bottle upside down to dump out the crumb or Cheerio?( Do not show her how.) Note--on 5-22 and 2-24 add:(You can use a soda pop bottle or a baby bottle.)
aqipxc029	aqi	px	c	029		If you do any of the following gestures, does your child copy at least one of them? a. Open and close your mouth. b. Blink your eyes. c. Pull on your earlobe.  d. Pat your cheek.
aqipxc030	aqi	px	c	030		Does your child put things away where they belong? For example, does he know his toys belong on the toy shelf, his blanket goes on his bed, and dishes go in the kitchen?
aqipxc031	aqi	px	c	031		Does your child pretend objects are something else? For example, does your child hold a cup to his ear, pretending it is a telephone? Does he put a box on his head, pretending it is a hat? Does he use a block or small toy to stir food?
aqipxc032	aqi	px	c	032		While your child watches, line up four objects like blocks or cars in a row. Does your child copy or imitate you and line up at least two blocks side by side? (You can also use spools of thread, small boxes, or other toys.)
aqipxc033	aqi	px	c	033		If your child wants something she cannot reach, does she find a chair or box to stand on to reach it (for example to get a toy on a counter or to "help" you in the kitchen)?
aqipxc034	aqi	px	c	034		After you have shown your baby  how, does he try to get a small toy that is slightly out of reach by using a spoon, stick, or similar tool?
aqipxc035	aqi	px	c	035		When looking in the mirror, ask "Where is _______?" (Use your child's name.) Does your child point to her image in the mirror?
aqipxc037	aqi	px	c	037		Show your child how to make a bridge with blocks, boxes, or cans, like the example. Does your child copy you by making one like it?
aqipxc038	aqi	px	c	038		When you say, "Say seven three," does your child repeat just the two numbers in the same order? Do not repeat the numbers.If necessary, try another pair of numbers and say, "Say eight two." Your child must repeat just one series of two numbers for you to answer "yes" to this question.
aqipxc039	aqi	px	c	039		Does your child dress up and "play-act," pretending to be someone or something else? For example, your child may dress up in different clothes and pretend to be a mommy, daddy, brother, or sister, or an imaginary animal or figure.
aqipxc040	aqi	px	c	040		When you point to the figure and ask your child, "What is this?" Does your child say a word that means a person or something similar? (Mark "yes" for responses like "snowman", "boy", "man", "girl", "Daddy", "spaceman" and "monkey"). Please write your child's response here.
aqipxc041	aqi	px	c	041		Without your giving help by pointing, does your child follow three different directions using the words "under," "between," and "middle"? For example, ask your child to put the shoe "under the couch."  Then ask her to put the ball " between the chairs" and the book "in the middle of the table."
aqipxc042	aqi	px	c	042		When you say, "Say five eight three," does your child repeat just the three numbers in the same order? Do not repeat the numbers. If necessary, try another series of numbers and say, "Say six nine two." Your child must repeat just one series of three numbers for you to answer "yes" to this question.
aqipxc043	aqi	px	c	043		After your child draws a "picture," even a simple scribble, does your child tell you what she drew? (You may say, "Tell me about your picture," or ask, "What is this?" to prompt her.)
aqipxc044	aqi	px	c	044		After watching you draw a line from the top of the paper to the bottom with a crayon (or pencil or pen), does your child copy you by drawing a single line on the paper in any direction? (Mark "not yet" if your child scribbles back and forth)
aqipxc045	aqi	px	c	045		When asked, "Which circle is the smallest?" does your child point to the smallest circle? Ask this question without providing help by pointing, gesturing, or looking at the smallest circle.
aqipxc046	aqi	px	c	046		When shown objects and asked, "What color is this?" does your child name five different colors like red, blue, yellow, orange, black, white, or pink? (Mark "yes" only if your child answers the question correctly using five colors.)
aqipxc047	aqi	px	c	047		If you place five objects in front of your child, can he count them saying, "One, two, three, four, five," in order? Ask the question without providing help by pointing, gesturing, or naming.
aqipxc048	aqi	px	c	048		Does your child know the following six words for shapes? For example, your child says, "That's a square," when pointing to a box. If she knows at least 3 shapes mark "sometimes". a. circle  b. triangle  c. diamond  d. square  e. rectangle  f. star.
aqipxc051	aqi	px	c	051		Does your child finish the following sentences using a word that means the opposite of the word that is italicized? For example: "A rock is hard, and a pillow is soft." Please write your child's responses below: A cow is big, and a mouse is ______. Ice is cold, and fire is ______. We see stars at night, and we see the sun during the ______. When I throw the ball up, it comes ______. Mark "yes" if she finishes three of four sentences correctly. Mark "sometimes" if she finishes two of four sentences correctly.
aqipxc052	aqi	px	c	052		Does your child know the names of numbers?( Mark "yes" if he identifies the three numbers (3, 1, 2) below. Mark "sometimes" if he identifies two numbers.)
aqipxc053	aqi	px	c	053		Does your child name at least four letters in her name? Point to the letters and ask, "What letter is this?" (Point to the letters out of order.)
aqipxc055	aqi	px	c	055		Does your child count up to 15 without making mistakes? If so, mark "yes." If your child counts to 12 without making mistakes, mark "sometimes."
aqislc001	aqi	sl	c	001		Does your baby cry when she is hungry, wet, tired, or wants to be held?
aqislc002	aqi	sl	c	002		Does your baby sometimes try to suck, even when he's not feeding?
aqislc003	aqi	sl	c	003		Does your baby smile at you?
aqislc004	aqi	sl	c	004		When you smile at your baby, does she smile back?
aqislc005	aqi	sl	c	005		When your baby sees the breast or bottle, does he seem to know he is about to be fed?
aqislc007	aqi	sl	c	007		Does your baby watch his hands?
aqislc009	aqi	sl	c	009		When in front of a large mirror, does your baby smile or coo at herself?
aqislc010	aqi	sl	c	010		While lying on her back, does your baby play by grabbing her foot?
aqislc011	aqi	sl	c	011		Does your baby try to get a toy that is out of reach? (She may roll, pivot on her tummy, or crawl to get it.)
aqislc013	aqi	sl	c	013		When in front of a large mirror, does your baby reach out to pat the mirror?
aqislc014	aqi	sl	c	014		Does your baby feed himself a cracker or a cookie?
aqislc015	aqi	sl	c	015		Does your baby drink water, juice, or formula from a cup while you hold it?
aqislc016	aqi	sl	c	016		Does your baby act differently toward strangers than he does with you and other familiar people? (Reactions to strangers may include staring, frowning, withdrawing, or crying.)
aqislc017	aqi	sl	c	017		While your baby is on his back, does he put his foot in his mouth?
aqislc018	aqi	sl	c	018		When you dress your baby, does he push his arm through a sleeve once his arm is started in the hole of the sleeve?
aqislc019	aqi	sl	c	019		When you hold out your hand and ask for her toy, does your baby offer it to you even if she doesn't let go of it? (If she already lets go of the toy into your hand, mark "yes" for this item.)
aqislc020	aqi	sl	c	020		When you hold out your hand and ask for her toy, does your baby let go of it into your hand?
aqislc021	aqi	sl	c	021		Does your baby roll or throw a ball back to you so that you can return it to him?
aqislc022	aqi	sl	c	022		Does your baby/child play with a doll or stuffed animal by hugging it?
aqislc023	aqi	sl	c	023		When you dress your baby does she lift her foot for her shoe, sock, or pant leg?
aqislc024	aqi	sl	c	024		Does your child copy the activities you do, such as wipe up a spill, sweep, shave, or comb hair?
